f;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30
1-10;1.80534e+06;2.7534e+06;2.24251e+06;2.08199e+06;1.99654e+06;2.2422e+06;2.25986e+06;2.14201e+06;2.48446e+06;2.01418e+06;2.27801e+06;2.29641e+06;2.06217e+06;2.15175e+06;2.76171e+06;1.80971e+06;1.97544e+06;2.34478e+06;2.55785e+06;1.7118e+06;2.53025e+06;1.59551e+06;2.10164e+06;2.68791e+06;2.11995e+06;2.4221e+06;3.02332e+06;2.12722e+06;1.88935e+06;1.63556e+06
2-10;1.24421e+08;1.27671e+08;9.79958e+07;8.67148e+07;1.25793e+08;1.42175e+08;1.56508e+08;1.35264e+08;1.19598e+08;9.47778e+07;9.9233e+07;1.44862e+08;1.20754e+08;1.42906e+08;1.56826e+08;1.64034e+08;1.38598e+08;1.42864e+08;1.40979e+08;1.28255e+08;1.5856e+08;1.3889e+08;1.59696e+08;1.26183e+08;1.42536e+08;1.5228e+08;1.06223e+08;9.30956e+07;1.23824e+08;1.10648e+08
3-10;3263.01;2392.26;2971.35;4908.14;2840.98;3346.69;2962.89;2889.33;2827.85;3137.99;3495.6;3588.17;4907.65;3090.2;3419.32;3693.4;4570.93;3305.71;3060.24;2982.79;4110.06;4585.84;3271.88;4485.1;3788.62;2428.23;3561.78;3844.86;3996.64;2782.69
4-10;36.2053;35.986;36.1799;35.9796;35.7655;35.8273;35.7291;36.176;6.40462;36.1063;25.4135;36.1699;35.8992;35.811;35.8312;35.9202;23.8494;36.2253;35.8713;35.8052;36.0439;36.342;36.0113;36.0579;35.5934;36.0694;35.7606;36.0479;36.2195;36.0783
5-10;20.0333;19.8218;20.0311;20.0298;20.0245;20.036;3.15468;2.82281;2.40596;3.90747;20.0414;3.61795;4.38203;20.0281;5.24806;20.0261;5.18079;20.0324;20.0335;20.0286;20.0387;4.17806;20.0322;20.0256;3.8672;20.0436;4.55921;20.0292;5.49682;20.0317
6-10;1.69;1.46429;1.57158;1.66046;1.80007;1.54921;1.78778;1.23408;1.52724;1.71282;1.64949;1.52776;1.69617;1.94272;1.53452;1.65616;1.59913;1.90066;1.17922;1.76029;1.52956;1.49744;1.4087;1.81379;1.33845;1.45582;1.663;1.62686;1.4281;1.67551
7-10;0.889722;0.992275;0.751692;1.47231;1.32544;1.14512;0.316062;0.439801;1.26667;0.983491;0.926942;1.34052;0.922175;0.938104;1.43589;1.07826;1.19084;1.03474;1.04966;0.966385;1.44001;0.538731;0.260021;0.611585;0.280787;0.252921;1.14166;0.970679;1.20599;0.258189
8-10;9.19414;9.44168;9.31055;9.82205;8.40149;9.04081;8.47564;8.94071;8.66315;8.51318;8.56477;8.76978;10.2272;9.05553;8.97295;9.52685;9.17901;8.504;8.97297;9.01196;8.22548;8.53716;8.49821;9.78902;8.97156;8.50885;8.24024;9.3086;8.67902;8.38958
9-10;5.63336;4.50383;4.17665;5.0685;5.35956;3.60534;4.3752;6.03694;5.92851;4.82563;5.35467;5.15929;4.19541;5.98842;8.25256;6.0632;4.71384;5.25874;5.13011;5.26441;4.95775;4.2972;5.27001;4.26054;5.12107;4.93055;5.17498;3.96926;5.29135;6.38053
10-10;131.737;125.495;132.631;35.0299;117.476;146.128;145.665;111.907;143.387;120.491;131.737;125.495;132.631;35.0299;117.476;146.128;145.665;111.907;143.387;120.491;131.737;125.495;132.631;35.0299;117.476;146.128;145.665;111.907;143.387;120.491
11-10;90.2339;109.119;98.6545;96.5524;111.468;121.503;112.3;91.3786;116.909;124.144;111.314;119.778;107.55;130.763;86.0088;102.716;111.661;97.5448;238.918;95.0708;114.201;74.8455;105.533;133.159;134.462;100.019;99.1184;83.2364;94.8029;101.752
12-10;0.15681;0.172808;0.163935;0.12201;0.163141;0.145041;0.15755;0.172766;0.154529;0.165663;0.135497;0.175168;0.151352;0.208874;0.169189;0.165315;0.148412;0.141593;0.160631;0.137634;0.176312;0.153128;0.159707;0.157934;0.154407;0.131228;0.170239;0.160059;0.167521;0.144813
13-10;0.0969287;0.081096;0.0715902;0.0690596;0.0824113;0.0779705;0.0672059;0.0913101;0.0773609;0.076266;0.0698208;0.0893638;0.10158;0.0786538;0.0752201;0.0618697;0.0668803;0.0641524;0.0764273;0.0828762;0.089045;0.0729534;0.0793929;0.0672524;0.0675765;0.0773666;0.0914413;0.0695466;0.0818633;0.07646
14-10;0.107329;0.128379;0.14325;0.102906;0.0957324;0.167715;0.118249;0.129252;0.104375;0.114455;0.107706;0.0895445;0.107552;0.130061;0.0909386;0.119738;0.136684;0.126452;0.108336;0.12199;0.0920378;0.151353;0.112862;0.101374;0.138241;0.0832568;0.138179;0.12286;0.0969506;0.143662
15-10;14.0412;6.43373;15.9172;18.0839;7.12794;22.2613;11.0553;18.9599;6.33088;13.8336;30.4412;15.854;13.3847;4.98751;14.541;2.92173;15.206;12.8217;8.66092;13.3831;14.2728;4.08021;10.2428;10.0137;8.4209;19.9269;6.68007;9.96256;11.8116;11.8743
16-10;1.383;1.36383;1.63511;1.40421;1.52323;1.22472;1.84713;1.23922;1.14856;1.29702;1.51526;0.978281;1.45199;1.19908;1.15731;1.39495;0.961756;0.849506;1.09059;1.63523;1.37311;1.46153;1.36602;1.27349;1.76686;1.65377;1.52564;1.07643;1.7338;1.05633
17-10;5305.49;5701.72;4405.57;4288.9;3637.86;2571.74;2936.1;4887;2797.53;2683.54;3502;4253.19;3668.88;4993.81;1520.45;4194.66;3513.59;2747.6;2696.23;6968.51;4573.08;5691.82;4048.22;3853.75;4787.27;1013.52;22546.1;6451.5;2438.74;5097.61
18-10;64901.6;29457.9;19181.2;7230.29;28595.9;20410.5;16708;2965.5;19635;23182.2;16566.9;2877.58;10848.5;36538.6;10620.3;11097.1;34448;15572.7;24899.8;62062.6;3605.61;6671.86;26881.6;8326.12;4244.88;13885.2;26769.4;10609.8;22361.4;23737.5
19-10;0.311525;0.310876;0.388205;0.41264;0.318051;0.378813;0.357392;0.340775;0.348723;0.319566;0.315443;0.300685;0.335176;0.389064;0.383262;0.374648;0.348846;0.341948;0.36976;0.351737;0.31612;0.3445;0.404053;0.324499;0.356298;0.380523;0.402713;0.370684;0.385749;0.36376
20-10;122.862;242.545;405.005;174.147;1277.41;485.125;351.858;72.4903;284.655;692.584;299.231;93.621;1829.15;42.9629;377.068;693.579;246.466;1065.57;532.39;473.201;120.324;82.5788;14.4988;603.942;1427.3;95.8301;984.42;392.619;813.791;93.1808
21-10;1222.38;677.161;1589.65;763.457;125.389;460.7;775.314;662.277;212.169;356.728;737.836;428.312;785.393;608.569;542.917;777.922;733.647;428.171;738.998;280.713;2384.73;613.173;417.579;539.632;449.315;1397.88;415.043;521.918;451.723;1364.35
22-10;4.51271;4.52461;4.78065;4.09934;3.82987;3.55343;3.6491;4.16807;3.82763;3.72882;3.81632;3.49508;3.73653;3.95746;3.98217;3.9243;4.1254;3.97102;4.20805;3.78054;3.84484;4.30636;4.03596;4.35719;4.32806;3.5147;4.76491;4.17298;4.78476;3.74864
23-10;329.64;329.623;329.664;329.722;329.618;329.656;329.553;329.651;329.604;329.678;329.694;329.707;329.739;329.666;329.702;329.605;329.648;329.622;329.625;329.681;329.687;329.657;329.695;329.698;329.631;329.713;329.694;329.576;329.567;329.668
24-10;111.392;111.343;110.894;110.459;110.625;109.59;110.103;110.218;112.148;109.806;110.828;109.667;111.029;111.612;110.709;111.636;113.838;111.995;114.042;111.021;110.175;111.062;110.667;111.127;110.111;111.162;111.457;111.803;112.304;110.231
25-10;122.379;201.132;111.042;201.31;117.911;108.537;116.737;201.31;119.713;114.836;114.706;201.346;201.283;114.513;122.944;117.392;201.119;201.291;201.281;105.125;116.17;117.754;106.856;115.077;201.128;201.309;112.648;201.297;113.545;106.38
26-10;100.06;100.05;100.056;100.022;100.052;100.062;100.058;100.049;100.053;100.058;100.047;100.06;100.052;100.052;100.058;100.06;100.05;100.056;100.022;100.052;100.062;100.058;100.049;100.053;100.058;100.047;100.06;100.052;100.052;100.058
27-10;4.05201;3.01912;3.85488;2.53491;2.56623;2.8519;3.23544;3.04495;4.44774;3.10853;303.31;400.547;2.75724;3.94701;303.425;3.46309;3.4022;3.04529;5.01778;2.4948;2.90711;400.627;3.91529;2.93404;3.87984;6.1808;3.52754;3.7121;400.67;302.727
28-10;371.463;371.537;371.471;370.803;371.344;371.3;374.831;359.404;374.22;382.391;374.163;476.107;370.96;371.756;382.569;382.647;373.973;382.499;374.709;371.039;371.589;373.7;476.643;371.545;374.055;372.293;371.046;370.994;371.208;371.304
29-10;970.775;4778.29;6870.98;20640.6;4836.17;2859.46;3422.67;1382.6;2963.46;9041.32;3727.73;4103.63;253.556;3021.59;1140.75;9126.14;15034.5;7254.96;13869;3278.44;13419.8;4306.05;11301.3;3333.13;1442.79;4603.72;3576.76;4703.99;9609.6;3947.04
30-10;570.784;492.749;555.704;633.353;520.39;545.388;538.178;527.956;532.915;527.101;513.955;497.239;531.102;576.094;509.935;601.559;561.97;517.33;588.821;505.134;544.413;507.69;576.153;595.758;586.295;556.945;588.412;530.658;520.138;582.97
1-10;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06;1.99047e+06
2-10;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08;1.21244e+08
3-10;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9;2690.9
