Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC
21;100;1351.54;2293.06;0;36.3629;0.261702;3401
22;100;763.115;1104.06;0;43.9148;0.0600117;3401
23;100;348.235;348.235;0;135.269;0.351566;3401
24;100;387.573;391.836;0;76.4732;0.339159;3401
25;100;200;200;0;107.946;0.4054;3401
26;100;200;200;0;437.847;0.387142;3401
27;100;306.254;333.955;0;442.116;0.386487;3401
28;100;2232.65;2320.85;0;176.433;0.327634;3401
29;100;738.298;1142.76;0;160.943;0.372422;3401
30;100;8460.61;9759.04;0;115.489;0.303095;3401
1;10;0;0;0;0.137714;0.201603;400.433
2;10;0;0;0;0.140321;0.248806;388.4
3;10;0;0;0;0.112206;0.214038;320.033
4;10;0;26.6649;0;0.183804;0.167375;1743.47
5;50;20.2005;20.2538;0;4.93603;0.00833333;3022
