Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;30;0;0;0;2.31806;0;0;0;-1;6.35132e-310
2;30;0;0;0;2.13853;0;0;0;-1;6.8747e-310
3;30;0;0;0;1.46132;0;0;0;-1;6.29124e-310
4;30;0;0.679593;0;4.139;0;0;0;-1;6.93806e-310
5;30;20;20.006;0;4.53059;0;0;0;-1;6.84317e-310
6;30;0;0;0;26.1812;0;0;0;-1;6.69755e-310
7;30;0;0;0;1.35707;0;0;0;-1;6.8117e-310
8;30;0;0;0;1.49195;0;0;0;-1;6.22741e-310
9;30;2.98488;7.56169;0;4.78588;0;0;0;-1;6.47317e-310
10;30;0;0;0;3.07418;0;0;0;-1;6.63863e-310
11;30;479.64;901.017;0;6.49094;0;0;0;-1;6.37846e-310
12;30;0.0142579;0.0504459;0;26.0927;0;0;0;-1;6.3892e-310
13;30;0.0783343;0.10541;0;3.92685;0;0;0;-1;6.30533e-310
14;30;0.154164;0.204943;0;4.04682;0;0;0;-1;6.68262e-310
15;30;1.12115;1.58138;0;5.10572;0;0;0;-1;6.81181e-310
16;30;5.71288;7.17957;0;5.51097;0;0;0;-1;6.89802e-310
17;30;67.078;216.544;0;5.99383;0;0;0;-1;6.72576e-310
18;30;1.1966;5.06171;0;6.70625;0;0;0;-1;6.52145e-310
19;30;1.95264;3.43444;0;21.1247;0;0;0;-1;6.76938e-310
20;30;0.767326;1.97533;0;7.58101;0;0;0;-1;6.55528e-310
21;30;0.810308;56.1029;0;8.18271;0;0;0;-1;6.11993e-310
22;30;2.44053;18.8967;0;7.8529;0;0;0;-1;6.77682e-310
23;30;315.244;315.244;0;17.6792;0;0;0;-1;6.87412e-310
24;30;221.696;224.828;0;12.1653;0;0;0;-1;6.18565e-310
25;30;202.52;202.593;0;15.4963;0;0;0;-1;6.65452e-310
26;30;100.074;100.099;0;109.43;0;0;0;-1;6.41207e-310
