Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;30;0;0;0;1.55843;0;0;0;-1;-2.73932e+190
2;30;0;0;0;1.32935;0;0;0;-1;-3.03027e+211
3;30;0;0;0;0.915482;0;0;0;-1;-1.77016e+301
4;30;0;0.0234439;0;2.75503;0;0;0;-1;-1.00285e+248
5;30;20;20.0255;0;1.4812;0;0;0;-1;-8.89615e+207
6;30;0;0.00683866;0;21.6184;0;0;0;-1;-9.61119e+202
7;30;0;0;0;0.863384;0;0;0;-1;-1.52762e+201
8;30;0;0.000121169;0;0.83785;0;0;0;-1;-1.70323e+301
9;30;6.96652;8.92091;0;1.61262;0;0;0;-1;-2.32124e+294
10;30;0;0.0263723;0;1.22043;0;0;0;-1;-2.42045e+245
11;30;510.926;1256.91;0;2.14024;0;0;0;-1;-3.61853e+207
12;30;0.0514428;0.112106;0;7.99345;0;0;0;-1;-3.52986e+295
13;30;0.0860736;0.125027;0;1.32751;0;0;0;-1;-1.54524e+298
14;30;0.125421;0.223761;0;1.32584;0;0;0;-1;-3.32749e+241
15;30;0.969443;2.08447;0;1.70936;0;0;0;-1;-3.37187e+245
16;30;6.87565;8.07009;0;1.72301;0;0;0;-1;-1.92525e+287
17;30;60.5093;241.313;0;2.8767;0;0;0;-1;-2.8865e+284
18;30;3.4071;8.813;0;2.16382;0;0;0;-1;-6.03133e+162
19;30;1.39702;3.81488;0;7.13776;0;0;0;-1;-1.89641e+255
20;30;1.15908;3.17298;0;2.26998;0;0;0;-1;-1.01971e+190
21;30;8.36991;128.759;0;2.46808;0;0;0;-1;-4.28238e+192
22;30;2.63007;30.6991;0;2.69323;0;0;0;-1;-1.22885e+176
23;30;315.244;315.244;0;5.99556;0;0;0;-1;-1.71449e+261
24;30;221.633;224.486;0;3.95256;0;0;0;-1;-1.89039e+233
25;30;202.52;202.596;0;5.15161;0;0;0;-1;-inf
26;30;100.089;100.117;0;32.298;0;0;0;-1;-2.04714e+272
27;30;300;300;0;30.4185;0;0;0;-1;-4.16175e+239
28;30;842.29;857.163;0;7.41996;0;0;0;-1;-2.83277e+212
29;30;714.101;718.473;0;10.6807;0;0;0;-1;-4.72926e+237
30;30;717.787;2490.25;0;6.18547;0;0;0;-1;-4.7377e+278
