Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;30;4.26326e-14;2.67069e-12;0;8.45272;0;0;0;-1;8.46686e-315
2;30;0;0;0;8.19661;0;0;0;-1;8.46686e-315
3;30;0;0;0;8.3039;0;0;0;-1;8.46686e-315
4;30;2.31153e-06;0.225616;0;8.61486;0;0;0;-1;8.46686e-315
5;30;19.9992;20.0108;0;9.5164;0;0;0;-1;8.46686e-315
6;30;0;0;0;84.2509;0;0;0;-1;8.46686e-315
7;30;0;0;0;8.4668;0;0;0;-1;8.46686e-315
8;30;1.13687e-13;2.28841;0;6.05155;0;0;0;-1;8.46686e-315
9;30;3.42143;7.39911;0;8.79522;0;0;0;-1;8.46686e-315
10;30;0.104096;60.3153;0;7.81979;0;0;0;-1;8.46686e-315
11;30;1030.98;1599.67;0;11.1319;0;0;0;-1;8.46686e-315
12;30;0.081196;0.235101;0;30.9494;0;0;0;-1;8.46686e-315
13;30;0.0395458;0.0681752;0;8.24172;0;0;0;-1;8.46686e-315
14;30;0.124568;0.174906;0;8.23575;0;0;0;-1;8.46686e-315
15;30;1.80602;2.77033;0;8.99459;0;0;0;-1;8.46686e-315
16;30;6.83892;7.90661;0;9.67618;0;0;0;-1;8.46686e-315
17;30;57.7791;169.041;0;9.21237;0;0;0;-1;8.46686e-315
18;30;2.54938;6.47152;0;8.66092;0;0;0;-1;8.46686e-315
19;30;1.6248;3.17709;0;24.7616;0;0;0;-1;8.46686e-315
20;30;0.911124;2.57111;0;9.01245;0;0;0;-1;8.46686e-315
21;30;2.5854;74.1088;0;9.20136;0;0;0;-1;8.46686e-315
22;30;3.28604;76.2869;0;11.8915;0;0;0;-1;8.46686e-315
23;30;315.244;315.244;0;21.3378;0;0;0;-1;8.46686e-315
24;30;221.559;223.202;0;15.6068;0;0;0;-1;8.46686e-315
25;30;202.518;202.727;0;18.8908;0;0;0;-1;8.46686e-315
26;30;100.036;100.072;0;106.796;0;0;0;-1;8.46686e-315
27;30;300;300;0;101.494;0;0;0;-1;8.46686e-315
28;30;300;369.364;0;27.3933;0;0;0;-1;8.46686e-315
29;30;196.155;700.752;0;33.4395;0;0;0;-1;8.46686e-315
30;30;416.404;523.551;0;21.554;0;0;0;-1;8.46686e-315
