Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;30;0;0;0;2.2687;0;0;0;-1;6.22777e-310
2;30;0;0;0;2.0833;0;0;0;-1;6.51986e-310
3;30;0;0;0;1.33665;0;0;0;-1;6.83239e-310
4;30;0;2.41651;0;3.30101;0;0;0;-1;6.09177e-310
5;30;20.0584;20.1147;0;1.43498;0;0;0;-1;6.58604e-310
6;30;0;0;0;18.7707;0;0;0;-1;6.75512e-310
7;30;0;0;0;1.34903;0;0;0;-1;6.50381e-310
8;30;0;0.246517;0;0.989677;0;0;0;-1;6.69032e-310
9;30;5.97036;8.35181;0;1.654;0;0;0;-1;6.20196e-310
10;30;0;0.0362032;0;1.40773;0;0;0;-1;6.29466e-310
11;30;735.648;1122.05;0;2.08816;0;0;0;-1;6.25355e-310
12;30;0.0617537;0.150393;0;7.92963;0;0;0;-1;6.77561e-310
13;30;0.0835085;0.128957;0;1.34888;0;0;0;-1;6.31096e-310
14;30;0.174819;0.215439;0;1.39309;0;0;0;-1;6.81356e-310
15;30;1.60174;2.20074;0;1.76473;0;0;0;-1;6.47384e-310
16;30;7.03521;8.10704;0;1.64504;0;0;0;-1;6.52554e-310
17;30;57.2671;287.622;0;3.15131;0;0;0;-1;6.58288e-310
18;30;2.36837;8.23381;0;2.62734;0;0;0;-1;6.36037e-310
19;30;2.85625;3.97664;0;6.69102;0;0;0;-1;6.23518e-310
20;30;1.14619;2.90979;0;2.68363;0;0;0;-1;6.83326e-310
21;30;2.03446;93.3982;0;2.71771;0;0;0;-1;6.58526e-310
22;30;3.33497;23.4323;0;2.58785;0;0;0;-1;6.60014e-310
23;30;315.242;315.242;0;6.17708;0;0;0;-1;6.80908e-310
24;30;221.624;223.769;0;4.15983;0;0;0;-1;6.68897e-310
25;30;202.517;202.608;0;5.15394;0;0;0;-1;6.68995e-310
26;30;100.087;100.127;0;31.073;0;0;0;-1;6.34358e-310
27;30;300;301.241;0;31.4511;0;0;0;-1;6.76048e-310
28;30;834.928;852.515;0;7.88742;0;0;0;-1;6.53176e-310
29;30;714.15;717.36;0;11.4118;0;0;0;-1;6.58437e-310
30;30;511.875;2369.14;0;6.79154;0;0;0;-1;6.70196e-310
