Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;30;0;0;0;2.30195;0;0;0;-1;-1.90569e+285
2;30;0;0;0;2.09217;0;0;0;-1;-1.94933e+202
3;30;0;0;0;1.28447;0;0;0;-1;-1.41285e+253
4;30;0;8.55963e-07;0;4.13065;0;0;0;-1;-6.73213e+271
5;30;20;20.0057;0;1.99643;0;0;0;-1;-7.8154e+236
6;30;0;0.0256814;0;24.9815;0;0;0;-1;-1.78608e+176
7;30;0;0;0;1.30109;0;0;0;-1;-1.25575e+215
8;30;0;1.36346e-05;0;1.47016;0;0;0;-1;-1.15627e+155
9;30;5.96978;11.0201;0;2.54314;0;0;0;-1;-9.21943e+230
10;30;0.0624625;0.24587;0;1.72537;0;0;0;-1;-1.51919e+195
11;30;772.633;1312.45;0;2.74241;0;0;0;-1;-1.03193e+179
12;30;0.047139;0.114128;0;8.85729;0;0;0;-1;-7.08825e+229
13;30;0.074691;0.108225;0;2.32647;0;0;0;-1;-3.66691e+298
14;30;0.154102;0.220492;0;2.45578;0;0;0;-1;-1.46029e+264
15;30;1.62529;2.26203;0;2.92809;0;0;0;-1;-8.90326e+168
16;30;6.42538;8.00838;0;2.18133;0;0;0;-1;-7.3358e+159
17;30;55.6026;225.35;0;3.82617;0;0;0;-1;-3.00522e+255
18;30;2.26703;8.92469;0;3.55994;0;0;0;-1;-1.2914e+289
19;30;2.74098;3.78311;0;8.04456;0;0;0;-1;-2.11993e+262
20;30;0.918799;3.63007;0;3.04079;0;0;0;-1;-8.51804e+237
21;30;2.08441;107.892;0;3.70037;0;0;0;-1;-nan
22;30;21.5295;29.6195;0;3.28042;0;0;0;-1;-1.7793e+224
23;30;315.244;315.244;0;6.00145;0;0;0;-1;-5.44288e+291
24;30;221.595;224.279;0;4.73465;0;0;0;-1;-2.57911e+285
25;30;202.53;202.598;0;6.49523;0;0;0;-1;-1.13818e+182
26;30;100.061;100.099;0;33.9277;0;0;0;-1;-3.41385e+203
27;30;300;300.152;0;33.6026;0;0;0;-1;-5.91246e+282
28;30;838.195;854.301;0;9.03739;0;0;0;-1;-1.29329e+192
29;30;713.349;717.639;0;13.6589;0;0;0;-1;-1.10115e+229
30;30;1041.58;2678.7;0;7.93641;0;0;0;-1;-5.90611e+189
