Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;30;0;0;0;2.02645;0;0;0;-1;6.57889e-310
2;30;0;0;0;1.96056;0;0;0;-1;6.67826e-310
3;30;0;0;0;1.25083;0;0;0;-1;6.3146e-310
4;30;0;0.657632;0;3.76807;0;0;0;-1;6.43151e-310
5;30;20;20.0043;0;4.71979;0;0;0;-1;6.50439e-310
6;30;0;0;0;27.2489;0;0;0;-1;6.69784e-310
7;30;0;0;0;1.18787;0;0;0;-1;6.6842e-310
8;30;0;0;0;1.39323;0;0;0;-1;6.56056e-310
9;30;3.97984;7.49536;0;4.87442;0;0;0;-1;6.81458e-310
10;30;0;0;0;3.1775;0;0;0;-1;6.67441e-310
11;30;252.628;873.838;0;6.92446;0;0;0;-1;6.22808e-310
12;30;0.0233695;0.0501118;0;26.6821;0;0;0;-1;6.84617e-310
13;30;0.0783343;0.10541;0;3.94633;0;0;0;-1;6.68808e-310
14;30;0.154164;0.204989;0;3.97512;0;0;0;-1;6.408e-310
15;30;1.07328;1.4797;0;5.09706;0;0;0;-1;6.10324e-310
16;30;5.14123;7.01564;0;5.1563;0;0;0;-1;6.32103e-310
17;30;71.983;216.679;0;5.73975;0;0;0;-1;6.46325e-310
18;30;1.19262;5.16878;0;6.60865;0;0;0;-1;6.67926e-310
19;30;1.88524;3.48047;0;21.3578;0;0;0;-1;6.86037e-310
20;30;0.808688;2.04599;0;7.29339;0;0;0;-1;6.75008e-310
21;30;0.911266;55.7943;0;7.95075;0;0;0;-1;6.59659e-310
22;30;8.23462;20.4852;0;8.36468;0;0;0;-1;6.42153e-310
23;30;315.244;315.244;0;17.7693;0;0;0;-1;6.47796e-310
24;30;221.697;224.826;0;12.7973;0;0;0;-1;6.37698e-310
25;30;202.52;202.593;0;15.8513;0;0;0;-1;6.84769e-310
26;30;100.074;100.099;0;104.377;0;0;0;-1;6.91299e-310
27;30;300;300;0;98.8975;0;0;0;-1;6.56989e-310
28;30;847.321;854.619;0;22.8849;0;0;0;-1;6.28033e-310
29;30;713.999;715.247;0;30.8436;0;0;0;-1;6.7949e-310
30;30;726.929;2290.17;0;17.9748;0;0;0;-1;6.24764e-310
