Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;30;0;0;0;2.79333;0;0;0;-1;-8.64603e+241
2;30;0;0;0;2.47585;0;0;0;-1;-2.53768e+266
3;30;0;0;0;1.6096;0;0;0;-1;-1.05394e+286
4;30;0;7.91192e-05;0;5.24331;0;0;0;-1;-1.95522e+282
5;30;20.0024;20.0951;0;1.75397;0;0;0;-1;-9.09074e+157
6;30;0;2.76879e-06;0;22.0378;0;0;0;-1;-8.66153e+294
7;30;0;0;0;1.57027;0;0;0;-1;-1.65999e+297
8;30;0;0;0;1.35884;0;0;0;-1;-8.32254e+292
9;30;4.03365;7.89178;0;1.82217;0;0;0;-1;-7.53921e+215
10;30;0;0.0124915;0;1.76246;0;0;0;-1;-5.22186e+198
11;30;852.409;1280.53;0;2.2683;0;0;0;-1;-3.12681e+279
12;30;0.059423;0.133464;0;8.52372;0;0;0;-1;-5.37976e+223
13;30;0.0884037;0.125425;0;1.63553;0;0;0;-1;-2.24826e+165
14;30;0.143115;0.208569;0;1.70835;0;0;0;-1;-5.1167e+204
15;30;1.28793;2.16134;0;2.22317;0;0;0;-1;-6.16807e+221
16;30;6.82844;8.13779;0;2.14026;0;0;0;-1;-4.49945e+253
17;30;43.8763;217.116;0;4.28976;0;0;0;-1;-1.57108e+249
18;30;3.21358;9.13696;0;3.59723;0;0;0;-1;-1.0573e+191
19;30;3.04809;4.11532;0;8.56237;0;0;0;-1;-3.51388e+164
20;30;1.2351;3.09643;0;3.79825;0;0;0;-1;-3.04964e+286
21;30;2.91452;137.746;0;4.10264;0;0;0;-1;-1.10594e+252
22;30;8.33324;23.2631;0;3.3721;0;0;0;-1;-2.81049e+237
23;30;315.244;315.244;0;7.98967;0;0;0;-1;-2.21337e+294
24;30;221.747;224.876;0;4.98925;0;0;0;-1;-4.44978e+288
25;30;202.519;202.596;0;6.35824;0;0;0;-1;-2.33058e+278
26;30;100.085;100.121;0;37.9523;0;0;0;-1;-3.14542e+195
27;30;300;300;0;38.643;0;0;0;-1;-2.17334e+158
28;30;806.424;851.867;0;10.0623;0;0;0;-1;-3.98327e+194
29;30;713.292;716.281;0;14.6947;0;0;0;-1;-4.3264e+234
30;30;709.231;2425.41;0;8.18646;0;0;0;-1;-2.74259e+284
