f;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30
1-50;9.34588e+06;1.01218e+07;1.05749e+07;9.25869e+06;8.53605e+06;9.95509e+06;9.67056e+06;8.49293e+06;9.38284e+06;8.91829e+06;9.04458e+06;8.49643e+06;9.43074e+06;9.12272e+06;9.25992e+06;8.76308e+06;8.99312e+06;9.37909e+06;9.24086e+06;8.43802e+06;8.08393e+06;9.02618e+06;1.02405e+07;1.01302e+07;9.72644e+06;9.99083e+06;9.24014e+06;1.00584e+07;8.73245e+06;9.91238e+06
2-50;3.24218e+09;3.24339e+09;3.73493e+09;3.19865e+09;3.63943e+09;3.53656e+09;3.51859e+09;3.11341e+09;3.3704e+09;3.30616e+09;3.24218e+09;3.24339e+09;3.73493e+09;3.19865e+09;3.63943e+09;3.53656e+09;3.51859e+09;3.11341e+09;3.3704e+09;3.30616e+09;3.24218e+09;3.24339e+09;3.73493e+09;3.19865e+09;3.63943e+09;3.53656e+09;3.51859e+09;3.11341e+09;3.3704e+09;3.30616e+09
3-50;35738.8;33827.5;38420.4;35037.9;34007.7;34739.6;36446.1;36259;31626.7;34075.6;35647.9;35670.3;33800;39449.3;32775.2;34223.6;34272.5;39831.7;40238;39452.2;33270.4;33561.4;33557.1;34430.7;32335.4;32033;35323.9;35854.1;32661.8;34774.4
4-50;179.406;173.052;174.487;174.695;181.184;185.816;177.32;174.776;174.834;176.945;176.737;163.083;175.868;184.67;179.705;169.622;165.235;174.867;89.1375;173.556;176.984;177.244;171.122;179.61;177.646;177.042;176.391;88.561;173.868;168.774
5-50;20.3929;20.3711;20.48;20.3813;20.3723;20.3779;20.3802;20.4253;20.4394;20.3932;20.3649;20.3688;20.4309;20.3758;20.3955;20.3858;20.3875;20.3646;20.3762;20.4346;20.3721;20.4451;20.3887;20.3749;20.3961;20.3839;20.3859;20.3594;20.4;20.3761
6-50;15.0891;14.0933;13.4323;13.9245;14.1246;13.3883;13.7394;12.8317;14.145;2.14149;13.0037;13.6798;12.8493;14.6595;13.8344;13.352;13.1638;13.4189;2.86685;13.3727;14.1201;2.85816;13.9251;14.1901;14.2858;13.0443;2.83397;14.095;1.93467;12.9367
7-50;77.0226;75.1739;78.594;72.4479;71.6839;70.2149;80.0839;76.79;72.3747;72.5866;71.5639;75.7629;73.9942;73.3044;71.52;72.1148;75.0076;73.0164;73.2702;76.2569;79.25;72.8664;75.8491;77.6604;77.9281;74.8146;74.8298;71.6604;75.8223;69.6157
8-50;82.6178;78.3304;81.1262;76.1269;81.6353;77.7247;80.7716;79.6222;79.7532;79.3251;78.9556;81.2673;81.2351;80.439;82.1975;79.4123;80.3979;78.656;78.475;78.7137;79.7032;78.0154;79.2859;79.3854;78.0804;79.063;79.3628;79.1939;81.005;77.0818
9-50;60.9433;56.2749;57.2203;59.1995;56.6063;59.609;60.2417;60.5711;58.1215;55.8045;57.5199;56.2817;57.1437;61.1571;55.8458;58.1756;60.2711;57.5451;61.3498;57.2914;59.7224;56.7398;60.2507;55.4135;63.1802;58.13;56.9354;55.9653;56.8123;60.6544
10-50;1029.97;1392.22;997.233;1391.63;1406.98;1378.37;1420.24;1349.56;1365.86;1384.02;1025.68;1410.44;1353.94;1358.81;1399.65;1040.07;1383.86;1364.9;1295.48;1375.75;1350.98;1398.86;1392.03;1367.98;1399.2;1376.27;1339.52;1398.54;1406.9;1060.85
11-50;5055.81;5219.1;5496.56;5543.92;4997.09;4975.31;4979.2;4696.58;5079.05;4752.61;4891.61;5050.04;4885.64;5202.36;4862.74;4948.87;5075.92;4970.48;4847.12;4650.04;4911.44;4885;5059.63;4865.76;5090.06;4758.01;5053.14;4772.98;4923.92;4954.36
12-50;0.510607;0.633015;0.550892;0.564585;0.579945;0.634116;0.640625;0.559823;0.763095;0.574848;0.498252;0.638355;0.59889;0.541625;0.606195;0.586137;0.652245;0.50152;0.598233;0.556391;0.603502;0.523229;0.613235;0.664737;0.60768;0.597013;0.475041;0.571554;0.61575;0.645439
