Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;50;512.762;3962.3;0;9.74142;0;0;0;-1;6.71911e-310
2;50;0;0;0;5.38872;0;0;0;-1;6.14315e-310
3;50;0;0;0;3.4643;0;0;0;-1;6.34493e-310
4;50;6.26811;83.1776;0;6.80346;0;0;0;-1;6.78526e-310
5;50;20.0019;20.0509;0;5.30925;0;0;0;-1;6.37923e-310
6;50;0;0.122791;0;68.8182;0;0;0;-1;6.48032e-310
7;50;0;0;0;2.82444;0;0;0;-1;6.9478e-310
8;50;1.47431e-06;0.00607815;0;2.36027;0;0;0;-1;6.28605e-310
9;50;7.97458;15.1279;0;5.66981;0;0;0;-1;6.28581e-310
10;50;0.192429;0.387124;0;3.28429;0;0;0;-1;6.83887e-310
11;50;2133.39;3181.89;0;7.17231;0;0;0;-1;6.92278e-310
12;50;0.0916703;0.139249;0;23.2397;0;0;0;-1;6.82659e-310
13;50;0.100719;0.162841;0;4.89448;0;0;0;-1;6.44147e-310
14;50;0.229483;0.323556;0;4.8988;0;0;0;-1;6.55231e-310
15;50;3.55106;5.07548;0;5.91623;0;0;0;-1;6.45846e-310
16;50;14.7649;16.3553;0;5.73351;0;0;0;-1;6.61562e-310
17;50;895.8;1544.56;0;9.59149;0;0;0;-1;6.79628e-310
18;50;80.9407;106.879;0;6.88426;0;0;0;-1;6.41292e-310
19;50;6.67422;8.35705;0;21.3281;0;0;0;-1;6.29527e-310
20;50;5.06214;16.468;0;7.25756;0;0;0;-1;6.93968e-310
21;50;263.924;608.306;0;7.97212;0;0;0;-1;6.22427e-310
22;50;27.2334;113.936;0;8.24436;0;0;0;-1;6.29304e-310
23;50;344.001;344.002;0;19.9384;0;0;0;-1;6.80266e-310
24;50;272.951;274.826;0;13.4901;0;0;0;-1;6.28215e-310
25;50;204.766;205.211;0;18.3734;0;0;0;-1;6.89723e-310
26;50;100.128;100.158;0;92.6709;0;0;0;-1;6.77321e-310
27;50;300;349.982;0;91.5622;0;0;0;-1;6.49852e-310
28;50;1068.69;1161.73;0;27.2084;0;0;0;-1;6.12309e-310
29;50;764.341;807.142;0;33.5412;0;0;0;-1;6.3259e-310
30;50;8025.65;8699.18;0;19.1453;0;0;0;-1;6.87462e-310
