Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.137232;0;0;0;-1;6.82671e-310
2;10;0;0;0;0.146561;0;0;0;-1;6.18522e-310
3;10;0;0;0;0.116829;0;0;0;-1;6.1443e-310
4;10;34.7803;34.7803;0;0.215524;0;0;0;-1;6.12586e-310
5;10;20.0062;20.0092;0;0.125587;0;0;0;-1;6.85198e-310
6;10;0;0;0;2.01255;0;0;0;-1;6.85657e-310
7;10;0;0;0;0.160057;0;0;0;-1;6.60687e-310
8;10;0;0;0;0.11543;0;0;0;-1;6.43113e-310
9;10;1.98992;2.35474;0;0.163949;0;0;0;-1;6.83881e-310
10;10;0;0;0;0.166556;0;0;0;-1;6.2581e-310
11;10;12.4276;26.6889;0;0.214202;0;0;0;-1;6.90506e-310
12;10;0.0375039;0.0676381;0;0.862979;0;0;0;-1;6.69574e-310
13;10;0.0284609;0.0556678;0;0.127759;0;0;0;-1;6.58508e-310
14;10;0.0485472;0.0638484;0;0.121149;0;0;0;-1;6.90237e-310
15;10;0.242521;0.37093;0;0.16199;0;0;0;-1;6.70689e-310
16;10;0.408841;0.995908;0;0.162058;0;0;0;-1;6.52421e-310
17;10;0.208143;1.66251;0;0.233606;0;0;0;-1;6.27805e-310
18;10;0.0167451;0.218409;0;0.23975;0;0;0;-1;6.27055e-310
19;10;0.0299959;0.146344;0;0.802205;0;0;0;-1;6.63477e-310
20;10;0.0468785;0.120157;0;0.180618;0;0;0;-1;6.74078e-310
21;10;2.76416e-06;0.383103;0;0.443817;0;0;0;-1;6.1215e-310
22;10;0.0271374;0.0824015;0;0.292781;0;0;0;-1;6.37677e-310
23;10;329.457;329.457;0;0.471055;0;0;0;-1;6.10047e-310
24;10;107.046;109.01;0;0.398564;0;0;0;-1;6.74406e-310
25;10;100;116.997;0;0.439068;0;0;0;-1;6.72755e-310
26;10;100.018;100.056;0;3.26334;0;0;0;-1;6.81956e-310
27;10;0.904706;41.224;0;3.25137;0;0;0;-1;6.88114e-310
28;10;368.697;391.852;0;0.651493;0;0;0;-1;6.37235e-310
29;10;221.524;222.22;0;1.01647;0;0;0;-1;6.7344e-310
30;10;462.307;466.663;0;0.642281;0;0;0;-1;6.61813e-310
