Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.136728;0;0;0;-1;-2.24457e+157
2;10;0;0;0;0.13736;0;0;0;-1;-7.6318e+295
3;10;0;0;0;0.100819;0;0;0;-1;-2.85598e+261
4;10;0;30.1429;0;0.182177;0;0;0;-1;-2.45874e+256
5;10;2.6274e-05;19.3326;0;0.135225;0;0;0;-1;-1.01731e+297
6;10;0;0;0;2.12413;0;0;0;-1;-2.6051e+165
7;10;0;0;0;0.157342;0;0;0;-1;-1.46012e+260
8;10;0;0;0;0.101967;0;0;0;-1;-2.01553e+244
9;10;1.98992;3.18387;0;0.168918;0;0;0;-1;-6.70634e+161
10;10;0;0;0;0.16913;0;0;0;-1;-1.91933e+260
11;10;6.95483;19.5615;0;0.232087;0;0;0;-1;-3.3983e+247
12;10;0.00288452;0.0389937;0;0.909246;0;0;0;-1;-2.09885e+213
13;10;0.032939;0.0569883;0;0.140989;0;0;0;-1;-2.65123e+253
14;10;0.027955;0.0765523;0;0.126459;0;0;0;-1;-1.7499e+261
15;10;0.250633;0.338958;0;0.187163;0;0;0;-1;-9.12903e+186
16;10;0.726981;1.03499;0;0.172667;0;0;0;-1;-6.04844e+170
17;10;0.208143;1.47452;0;0.237063;0;0;0;-1;-2.27361e+248
18;10;0.00882916;0.179813;0;0.222563;0;0;0;-1;-2.20038e+240
19;10;0.0232128;0.151396;0;0.769694;0;0;0;-1;-7.59052e+261
20;10;0.0748869;0.111118;0;0.186331;0;0;0;-1;-1.95908e+216
21;10;0.000718064;0.229919;0;0.24315;0;0;0;-1;-1.38643e+246
22;10;0.0146307;0.0625678;0;0.304883;0;0;0;-1;-3.51298e+155
23;10;329.457;329.457;0;0.476816;0;0;0;-1;-5.31806e+289
24;10;107.942;109.362;0;0.427475;0;0;0;-1;-inf
25;10;107.172;136.503;0;0.465119;0;0;0;-1;-2.80258e+305
26;10;100.017;100.055;0;3.37024;0;0;0;-1;-1.91612e+296
27;10;0.935872;84.4046;0;3.39126;0;0;0;-1;-5.31617e+161
28;10;369.371;384.963;0;0.676734;0;0;0;-1;-1.42092e+172
29;10;221.54;222.151;0;1.04385;0;0;0;-1;-5.06146e+302
30;10;462.307;466.199;0;0.636986;0;0;0;-1;-1.04486e+290
