Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;1.02452;0;0;0;-1;6.92533e-310
2;10;0;0;0;1.13603;0;0;0;-1;6.30617e-310
3;10;0;0;0;0.834358;0;0;0;-1;6.18915e-310
4;10;0;31.4468;0;1.23868;0;0;0;-1;6.08687e-310
5;10;0.00916786;13.7001;0;0.422971;0;0;0;-1;6.64027e-310
6;10;0;0;0;3.06679;0;0;0;-1;6.21287e-310
7;10;0;0.00180737;0;0.843057;0;0;0;-1;6.58349e-310
8;10;0;0;0;0.724068;0;0;0;-1;6.68922e-310
9;10;0.994959;2.355;0;0.541461;0;0;0;-1;6.40995e-310
10;10;0;0.00624544;0;0.819944;0;0;0;-1;6.49634e-310
11;10;0.374736;18.0876;0;0.539471;0;0;0;-1;6.11761e-310
12;10;0.0346448;0.0644158;0;1.19451;0;0;0;-1;6.85499e-310
13;10;0.0205469;0.0555037;0;0.50271;0;0;0;-1;6.22921e-310
14;10;0.0417478;0.0668622;0;0.445772;0;0;0;-1;6.89678e-310
15;10;0.298537;0.366654;0;0.602932;0;0;0;-1;6.41829e-310
16;10;0.61154;1.17701;0;0.476467;0;0;0;-1;6.70473e-310
17;10;0.208143;1.37808;0;1.16481;0;0;0;-1;6.65615e-310
18;10;0.0013267;0.258238;0;1.18095;0;0;0;-1;6.8199e-310
19;10;0.0303534;0.112833;0;1.24811;0;0;0;-1;6.86604e-310
20;10;0.0207783;0.120244;0;0.826541;0;0;0;-1;6.58308e-310
21;10;0.000185205;0.372232;0;1.32609;0;0;0;-1;6.36076e-310
22;10;0.0333532;0.0689747;0;0.990291;0;0;0;-1;6.63322e-310
23;10;329.457;329.457;0;1.36963;0;0;0;-1;6.28885e-310
24;10;100;108.605;0;0.768364;0;0;0;-1;6.78084e-310
25;10;100;143.759;0;1.1393;0;0;0;-1;6.42622e-310
26;10;100.013;100.051;0;3.71019;0;0;0;-1;6.71782e-310
27;10;0.934314;24.7556;0;3.75941;0;0;0;-1;6.7371e-310
28;10;368.577;377.491;0;1.93415;0;0;0;-1;6.61269e-310
29;10;221.525;222.201;0;2.23498;0;0;0;-1;6.53108e-310
30;10;462.307;463.944;0;1.85365;0;0;0;-1;6.93315e-310
