Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.139075;0;0;0;-1;-1.28301e+203
2;10;0;0;0;0.13924;0;0;0;-1;-5.11016e+185
3;10;0;0;0;0.0998;0;0;0;-1;-1.75803e+267
4;10;34.7803;34.7803;0;0.206057;0;0;0;-1;-2.79527e+187
5;10;4.88419e-06;12.667;0;0.177585;0;0;0;-1;-1.3565e+289
6;10;0;0;0;2.01068;0;0;0;-1;-3.33563e+266
7;10;0;0.00468293;0;0.171903;0;0;0;-1;-5.65975e+178
8;10;0;0;0;0.105758;0;0;0;-1;-6.64764e+205
9;10;1.98992;2.88538;0;0.201664;0;0;0;-1;-2.28421e+177
10;10;0;0;0;0.168532;0;0;0;-1;-5.85877e+181
11;10;0.499636;33.9609;0;0.257096;0;0;0;-1;-3.99573e+197
12;10;0.00835806;0.0479048;0;0.94302;0;0;0;-1;-4.44799e+262
13;10;0.0358341;0.0471653;0;0.136992;0;0;0;-1;-1.19628e+269
14;10;0.0501128;0.0664582;0;0.139802;0;0;0;-1;-1.48894e+272
15;10;0.361116;0.448976;0;0.219221;0;0;0;-1;-1.84749e+294
16;10;0.48187;0.933205;0;0.212499;0;0;0;-1;-4.99204e+231
17;10;0.416286;4.43164;0;0.265129;0;0;0;-1;-7.16855e+270
18;10;0.0062426;0.141732;0;0.222267;0;0;0;-1;-1.03697e+219
19;10;0.0320836;0.149301;0;0.797272;0;0;0;-1;-6.78241e+210
20;10;0.0940416;0.173804;0;0.201178;0;0;0;-1;-1.27818e+203
21;10;0.00796775;0.404157;0;0.266205;0;0;0;-1;-2.32092e+247
22;10;0.000961929;0.0458817;0;0.320385;0;0;0;-1;-1.95324e+258
23;10;329.457;329.457;0;0.50664;0;0;0;-1;-1.44772e+225
24;10;107.008;109.159;0;0.454253;0;0;0;-1;-2.00678e+160
25;10;100;147.485;0;0.493168;0;0;0;-1;-7.6301e+159
26;10;100.021;100.045;0;3.39911;0;0;0;-1;-4.51937e+298
27;10;0.629184;37.8049;0;3.33995;0;0;0;-1;-2.96868e+158
28;10;368.85;385.271;0;0.661474;0;0;0;-1;-4.25827e+164
29;10;221.54;222.092;0;1.06278;0;0;0;-1;-6.03355e+299
30;10;462.307;464.987;0;0.654044;0;0;0;-1;-2.50364e+179
