Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.248246;0;0;0;-1;-4.52951e+289
2;10;0;0;0;0.275454;0;0;0;-1;-5.54817e+174
3;10;0;0;0;0.197464;0;0;0;-1;-2.13344e+182
4;10;34.7803;34.7803;0;0.370488;0;0;0;-1;-6.08653e+273
5;10;2.05709;15.131;0;0.187739;0;0;0;-1;-9.3023e+227
6;10;0;0;0;2.22368;0;0;0;-1;-3.62831e+293
7;10;0;0;0;0.239383;0;0;0;-1;-1.77869e+238
8;10;0;0;0;0.19855;0;0;0;-1;-1.5068e+207
9;10;1.98993;2.72161;0;0.219853;0;0;0;-1;-2.25304e+198
10;10;0;0.00624544;0;0.264326;0;0;0;-1;-4.23776e+237
11;10;3.85934;17.8776;0;0.268102;0;0;0;-1;-1.58036e+283
12;10;0.0296006;0.0612018;0;0.959445;0;0;0;-1;-1.17276e+266
13;10;0.0412179;0.0566533;0;0.185321;0;0;0;-1;-3.96074e+155
14;10;0.0319785;0.0526923;0;0.179662;0;0;0;-1;-6.74603e+275
15;10;0.302697;0.370099;0;0.238787;0;0;0;-1;-2.03148e+180
16;10;0.894023;1.2551;0;0.217154;0;0;0;-1;-1.24553e+175
17;10;0;1.43499;0;0.363424;0;0;0;-1;-5.46102e+196
18;10;0.00614867;0.196239;0;0.321971;0;0;0;-1;-3.26067e+178
19;10;0.0149015;0.132135;0;0.823803;0;0;0;-1;-3.01858e+278
20;10;0.0444309;0.111794;0;0.275164;0;0;0;-1;-1.02225e+166
21;10;0.00641023;0.403361;0;0.472725;0;0;0;-1;-2.21288e+302
22;10;0.0246918;0.0798619;0;0.391233;0;0;0;-1;-1.85933e+211
23;10;329.457;329.457;0;0.635566;0;0;0;-1;-2.39331e+185
24;10;105.141;108.958;0;0.460319;0;0;0;-1;-7.44168e+155
25;10;100.006;149.086;0;0.567082;0;0;0;-1;-1.30788e+163
26;10;100.008;100.056;0;3.4629;0;0;0;-1;-1.1435e+240
27;10;0.727587;81.1392;0;3.48165;0;0;0;-1;-1.52906e+248
28;10;356.827;388.368;0;0.849875;0;0;0;-1;-1.44699e+224
29;10;221.541;222.261;0;1.24638;0;0;0;-1;-1.95112e+301
30;10;462.307;463.619;0;0.846313;0;0;0;-1;-2.10583e+178
