Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.158061;0;0;0;-1;-4.52399e+217
2;10;0;0;0;0.158431;0;0;0;-1;-4.31085e+281
3;10;0;0;0;0.122306;0;0;0;-1;-1.90401e+196
4;10;34.7803;34.7803;0;0.259261;0;0;0;-1;-2.84284e+158
5;10;3.36346e-06;16.4196;0;0.185423;0;0;0;-1;-5.94107e+290
6;10;0;0;0;2.0535;0;0;0;-1;-1.6685e+245
7;10;0;0;0;0.164073;0;0;0;-1;-1.40064e+188
8;10;0;0;0;0.12231;0;0;0;-1;-1.86593e+293
9;10;0.994959;2.58689;0;0.247259;0;0;0;-1;-4.75571e+267
10;10;0;0.0229;0;0.212225;0;0;0;-1;-9.45472e+246
11;10;15.1196;34.9917;0;0.281701;0;0;0;-1;-1.7687e+167
12;10;0.00649369;0.0471388;0;0.946001;0;0;0;-1;-3.73817e+228
13;10;0.0375299;0.0560308;0;0.170088;0;0;0;-1;-6.56172e+270
14;10;0.0414951;0.0653063;0;0.179621;0;0;0;-1;-1.4486e+166
15;10;0.295467;0.422053;0;0.248321;0;0;0;-1;-4.55783e+187
16;10;0.450055;1.019;0;0.222663;0;0;0;-1;-3.72722e+197
17;10;0;1.9543;0;0.321649;0;0;0;-1;-1.36132e+292
18;10;0.00594306;0.220258;0;0.247899;0;0;0;-1;-7.92254e+182
19;10;0.0204603;0.200451;0;0.815032;0;0;0;-1;-1.32065e+156
20;10;0.040167;0.180853;0;0.235675;0;0;0;-1;-5.38001e+263
21;10;0.00108859;0.477228;0;0.318667;0;0;0;-1;-2.83118e+184
22;10;0.0206263;0.0682234;0;0.34124;0;0;0;-1;-2.70258e+235
23;10;329.457;329.457;0;0.535389;0;0;0;-1;-3.35626e+162
24;10;107.008;108.8;0;0.482729;0;0;0;-1;-7.13101e+182
25;10;100;132.074;0;0.546291;0;0;0;-1;-1.27204e+194
26;10;100.019;100.048;0;3.31738;0;0;0;-1;-3.84871e+181
27;10;0.62509;37.8021;0;3.2932;0;0;0;-1;-3.27195e+198
28;10;360.061;401.149;0;0.688113;0;0;0;-1;-1.13795e+244
29;10;221.538;221.82;0;1.06069;0;0;0;-1;-1.38223e+165
30;10;462.307;466.887;0;0.692028;0;0;0;-1;-3.61872e+279
