Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.266609;0;0;0;-1;-inf
2;10;0;0;0;0.288699;0;0;0;-1;-2.45052e+305
3;10;0;0;0;0.219298;0;0;0;-1;-6.16547e+279
4;10;4.33541;32.7506;0;0.419146;0;0;0;-1;-3.32427e+187
5;10;0.00419432;17.3397;0;0.219012;0;0;0;-1;-1.93383e+239
6;10;0;0;0;2.26308;0;0;0;-1;-1.1012e+232
7;10;0;0.000657152;0;0.287314;0;0;0;-1;-3.94978e+280
8;10;0;0;0;0.195533;0;0;0;-1;-2.27492e+214
9;10;0.994962;2.60166;0;0.261858;0;0;0;-1;-4.62028e+303
10;10;0;0.00624544;0;0.279888;0;0;0;-1;-1.93952e+284
11;10;3.60245;21.4201;0;0.339285;0;0;0;-1;-5.73774e+225
12;10;0.00988482;0.0418577;0;0.952612;0;0;0;-1;-3.1231e+209
13;10;0.00862056;0.0512533;0;0.215449;0;0;0;-1;-5.01059e+172
14;10;0.0526;0.0875918;0;0.2052;0;0;0;-1;-1.07374e+213
15;10;0.2406;0.352464;0;0.274051;0;0;0;-1;-3.20951e+291
16;10;0.387418;1.0435;0;0.271144;0;0;0;-1;-2.297e+294
17;10;0.208143;1.60177;0;0.425007;0;0;0;-1;-1.48252e+165
18;10;0.107669;0.455357;0;0.443889;0;0;0;-1;-1.2669e+238
19;10;0.028631;0.105048;0;0.839687;0;0;0;-1;-7.4467e+182
20;10;0.0908413;0.17866;0;0.31344;0;0;0;-1;-1.63893e+268
21;10;0.000486443;0.424912;0;0.445912;0;0;0;-1;-1.76597e+189
22;10;0.0216938;0.0906175;0;0.404407;0;0;0;-1;-1.04146e+211
23;10;329.457;329.457;0;0.642726;0;0;0;-1;-7.88805e+181
24;10;107.144;109.238;0;0.516605;0;0;0;-1;-1.24033e+306
25;10;110.142;133.054;0;0.631415;0;0;0;-1;-1.03813e+293
26;10;100.016;100.054;0;3.409;0;0;0;-1;-8.8547e+177
27;10;0.514191;70.9949;0;3.45261;0;0;0;-1;-2.44822e+219
28;10;368.773;377.701;0;0.891484;0;0;0;-1;-3.67173e+182
29;10;221.537;222.056;0;1.21133;0;0;0;-1;-3.07625e+175
30;10;462.307;470.798;0;0.847471;0;0;0;-1;-2.91644e+234
