Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.118273;0;0;0;-1;-2.11803e+284
2;10;0;0;0;0.123456;0;0;0;-1;-5.59159e+196
3;10;0;0;0;0.0977507;0;0;0;-1;-7.29567e+170
4;10;0;12.7528;0;0.130394;0;0;0;-1;-2.99767e+203
5;10;0.000218062;17.9521;0;0.126157;0;0;0;-1;-2.38785e+191
6;10;0;0;0;1.93257;0;0;0;-1;-7.31108e+281
7;10;0;0.00123267;0;0.148033;0;0;0;-1;-5.10333e+246
8;10;0;0;0;0.0987587;0;0;0;-1;-5.92758e+280
9;10;1.98992;2.98488;0;0.160879;0;0;0;-1;-4.20708e+226
10;10;0;0;0;0.148285;0;0;0;-1;-6.57427e+161
11;10;10.4322;73.6022;0;0.216559;0;0;0;-1;-6.96876e+232
12;10;0.00457887;0.0370291;0;0.859331;0;0;0;-1;-1.99886e+267
13;10;0.0495442;0.0626654;0;0.11659;0;0;0;-1;-2.36496e+263
14;10;0.0278976;0.0911928;0;0.124708;0;0;0;-1;-6.57571e+171
15;10;0.263652;0.328142;0;0.169616;0;0;0;-1;-5.63733e+295
16;10;0.842886;1.1285;0;0.165898;0;0;0;-1;-1.35333e+240
17;10;0.208143;17.2059;0;0.222358;0;0;0;-1;-5.41512e+167
18;10;0.0228227;0.179246;0;0.223913;0;0;0;-1;-1.47754e+175
19;10;0.0366498;0.102061;0;0.709412;0;0;0;-1;-3.56015e+201
20;10;0.0367194;0.177043;0;0.183154;0;0;0;-1;-1.00502e+242
21;10;0.0119321;0.369929;0;0.268092;0;0;0;-1;-1.00064e+161
22;10;0.0185837;0.0664445;0;0.275446;0;0;0;-1;-1.62509e+238
23;10;329.457;329.457;0;0.456765;0;0;0;-1;-5.06852e+266
24;10;106.595;109.119;0;0.399496;0;0;0;-1;-2.59609e+250
25;10;100;128.714;0;0.434801;0;0;0;-1;-4.60595e+232
26;10;100.019;100.049;0;3.22999;0;0;0;-1;-1.26205e+166
27;10;0.844199;51.2266;0;3.21233;0;0;0;-1;-1.76105e+297
28;10;368.85;392.593;0;0.624533;0;0;0;-1;-1.48532e+160
29;10;221.541;222.139;0;0.99866;0;0;0;-1;-6.45357e+266
30;10;462.307;467.38;0;0.6035;0;0;0;-1;-2.93654e+274
