Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.340853;0;0;0;-1;-inf
2;10;0;0;0;0.380813;0;0;0;-1;-2.4408e+264
3;10;0;0;0;0.282203;0;0;0;-1;-6.24893e+165
4;10;0;24.3462;0;0.445191;0;0;0;-1;-6.98186e+210
5;10;0.000225311;11.6918;0;0.242385;0;0;0;-1;-4.98483e+219
6;10;0;0;0;2.45528;0;0;0;-1;-8.65381e+271
7;10;0;0.000985728;0;0.316705;0;0;0;-1;-1.90026e+286
8;10;0;0;0;0.263877;0;0;0;-1;-2.28656e+288
9;10;0.994959;2.45426;0;0.288462;0;0;0;-1;-7.48686e+241
10;10;0;0.0124909;0;0.329722;0;0;0;-1;-1.56689e+235
11;10;3.60707;30.1933;0;0.320901;0;0;0;-1;-3.6599e+258
12;10;0.012743;0.0480826;0;0.992228;0;0;0;-1;-2.35007e+257
13;10;0.0429851;0.0572515;0;0.194126;0;0;0;-1;-1.0559e+250
14;10;0.0491736;0.0739275;0;0.198902;0;0;0;-1;-1.81061e+252
15;10;0.256943;0.369702;0;0.29233;0;0;0;-1;-6.96632e+176
16;10;0.427731;0.942328;0;0.238608;0;0;0;-1;-5.39724e+193
17;10;0;0.915689;0;0.456182;0;0;0;-1;-1.50781e+298
18;10;0.0242794;0.172678;0;0.455202;0;0;0;-1;-4.82295e+182
19;10;0.0362554;0.144948;0;0.858248;0;0;0;-1;-2.58767e+264
20;10;0.00449636;0.109516;0;0.297421;0;0;0;-1;-2.11547e+188
21;10;0.0143722;0.498659;0;0.592036;0;0;0;-1;-2.27839e+212
22;10;0.00268655;0.0584254;0;0.422083;0;0;0;-1;-4.42177e+256
23;10;329.457;329.457;0;0.687264;0;0;0;-1;-9.86915e+285
24;10;107.769;109.248;0;0.514841;0;0;0;-1;-7.79945e+195
25;10;100;160.316;0;0.695159;0;0;0;-1;-8.52237e+155
26;10;100.02;100.054;0;3.55645;0;0;0;-1;-2.26417e+296
27;10;0.589501;67.7673;0;3.45711;0;0;0;-1;-1.40528e+285
28;10;368.85;383.09;0;0.940305;0;0;0;-1;-6.67361e+298
29;10;221.54;222.272;0;1.36107;0;0;0;-1;-4.72314e+181
30;10;462.307;464.946;0;0.931692;0;0;0;-1;-8.6651e+209
