Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.25472;0;0;0;-1;-7.0341e+168
2;10;0;0;0;0.282584;0;0;0;-1;-2.57992e+243
3;10;0;0;0;0.213082;0;0;0;-1;-2.69447e+269
4;10;0;31.3022;0;0.433319;0;0;0;-1;-2.10095e+274
5;10;1.27551;13.3714;0;0.222563;0;0;0;-1;-5.48166e+199
6;10;0;0;0;2.41005;0;0;0;-1;-9.88734e+176
7;10;0;0.00295425;0;0.290492;0;0;0;-1;-1.6265e+304
8;10;0;0;0;0.211881;0;0;0;-1;-2.06744e+166
9;10;1.99024;2.65506;0;0.253973;0;0;0;-1;-1.01877e+161
10;10;0;0;0;0.284062;0;0;0;-1;-1.17419e+225
11;10;3.80718;46.8984;0;0.295665;0;0;0;-1;-3.11879e+234
12;10;0.035229;0.07152;0;0.996291;0;0;0;-1;-5.70074e+223
13;10;0.0498386;0.064699;0;0.247453;0;0;0;-1;-2.49534e+235
14;10;0.0247848;0.0741527;0;0.213733;0;0;0;-1;-3.17034e+229
15;10;0.262469;0.370842;0;0.272801;0;0;0;-1;-2.58274e+185
16;10;0.763345;1.1294;0;0.240068;0;0;0;-1;-4.27107e+302
17;10;0.416286;3.7724;0;0.433383;0;0;0;-1;-7.93233e+183
18;10;0.0514676;0.285976;0;0.432491;0;0;0;-1;-2.35497e+299
19;10;0.0180338;0.126566;0;0.855864;0;0;0;-1;-7.45193e+239
20;10;0.0173915;0.160011;0;0.319387;0;0;0;-1;-3.56429e+237
21;10;2.51563e-05;0.439396;0;0.498205;0;0;0;-1;-1.6957e+280
22;10;0.0179391;0.0603342;0;0.410771;0;0;0;-1;-2.50362e+226
23;10;329.457;329.457;0;0.653868;0;0;0;-1;-2.77911e+282
24;10;105.598;108.809;0;0.491083;0;0;0;-1;-3.8468e+219
25;10;107.177;135.971;0;0.575731;0;0;0;-1;-1.7314e+283
26;10;100.02;100.059;0;3.48541;0;0;0;-1;-1.12944e+283
27;10;0.955702;81.0905;0;3.55745;0;0;0;-1;-1.46095e+276
28;10;368.85;397.341;0;0.860126;0;0;0;-1;-7.83632e+165
29;10;221.541;222.19;0;1.27918;0;0;0;-1;-inf
30;10;462.307;464.311;0;0.87931;0;0;0;-1;-1.21043e+168
