Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.12937;0;0;0;-1;-2.13969e+182
2;10;0;0;0;0.144292;0;0;0;-1;-1.46565e+267
3;10;0;0;0;0.111353;0;0;0;-1;-3.1037e+283
4;10;34.7803;34.7803;0;0.216896;0;0;0;-1;-8.52055e+156
5;10;0;7.33743;0;0.18816;0;0;0;-1;-8.23279e+240
6;10;0;0;0;2.22802;0;0;0;-1;-6.84598e+159
7;10;0;0.00451557;0;0.170285;0;0;0;-1;-2.15123e+158
8;10;0;0;0;0.107909;0;0;0;-1;-9.07571e+252
9;10;1.98992;3.05122;0;0.184858;0;0;0;-1;-3.24333e+212
10;10;0;0.0104091;0;0.191648;0;0;0;-1;-1.64592e+159
11;10;6.89238;43.6005;0;0.236926;0;0;0;-1;-3.64723e+219
12;10;0.0116471;0.0442473;0;0.986899;0;0;0;-1;-1.87808e+287
13;10;0.0218547;0.0504412;0;0.141901;0;0;0;-1;-1.00818e+245
14;10;0.0540606;0.0726854;0;0.148655;0;0;0;-1;-6.4719e+299
15;10;0.23904;0.331651;0;0.194566;0;0;0;-1;-2.42257e+170
16;10;1.00746;1.37714;0;0.199026;0;0;0;-1;-3.97847e+167
17;10;0.416286;1.73985;0;0.245194;0;0;0;-1;-5.1642e+202
18;10;0.00380469;0.182948;0;0.23844;0;0;0;-1;-1.12969e+273
19;10;0.0195948;0.138276;0;0.7796;0;0;0;-1;-6.26914e+206
20;10;0.0651359;0.218404;0;0.196543;0;0;0;-1;-4.16843e+280
21;10;0.000481133;0.446964;0;0.318489;0;0;0;-1;-1.481e+256
22;10;0.0492303;0.0763062;0;0.309403;0;0;0;-1;-9.83635e+175
23;10;329.457;329.457;0;0.534169;0;0;0;-1;-2.56303e+166
24;10;106.595;108.653;0;0.456858;0;0;0;-1;-4.05199e+156
25;10;107.172;127.661;0;0.476177;0;0;0;-1;-2.38232e+285
26;10;100.017;100.051;0;3.63901;0;0;0;-1;-1.40383e+197
27;10;0.711177;34.6073;0;3.6301;0;0;0;-1;-1.50305e+256
28;10;368.85;381.029;0;0.731717;0;0;0;-1;-3.93853e+222
29;10;221.756;222.062;0;1.11823;0;0;0;-1;-2.83186e+264
30;10;462.307;466.249;0;0.655539;0;0;0;-1;-6.39553e+206
