Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.203103;0;0;0;-1;-3.28343e+207
2;10;0;0;0;0.21506;0;0;0;-1;-2.73563e+203
3;10;0;0;0;0.160516;0;0;0;-1;-4.781e+170
4;10;0;25.5055;0;0.293539;0;0;0;-1;-2.1492e+273
5;10;20;20;0;0.201781;0;0;0;-1;-8.05413e+220
6;10;0;0;0;2.08388;0;0;0;-1;-1.59215e+274
7;10;0;0.00533279;0;0.219172;0;0;0;-1;-4.52624e+175
8;10;0;0;0;0.151206;0;0;0;-1;-1.76349e+204
9;10;0.994959;2.91855;0;0.285462;0;0;0;-1;-2.29751e+282
10;10;0;0;0;0.222907;0;0;0;-1;-8.7627e+291
11;10;0.374727;57.3779;0;0.340051;0;0;0;-1;-2.47087e+184
12;10;0.00393251;0.0386595;0;0.962793;0;0;0;-1;-9.46078e+194
13;10;0.0288895;0.0437171;0;0.177958;0;0;0;-1;-7.44292e+162
14;10;0.0306051;0.0574533;0;0.194501;0;0;0;-1;-6.48241e+213
15;10;0.324186;0.441806;0;0.272552;0;0;0;-1;-9.05134e+272
16;10;0.617807;1.02243;0;0.254983;0;0;0;-1;-4.0413e+229
17;10;0.208143;3.08236;0;0.399255;0;0;0;-1;-4.39666e+154
18;10;0.0060985;0.219127;0;0.327858;0;0;0;-1;-6.68961e+175
19;10;0.03923;0.107436;0;0.849544;0;0;0;-1;-2.33794e+248
20;10;0.0341528;0.147907;0;0.271765;0;0;0;-1;-5.17654e+214
21;10;0.00133562;0.258852;0;0.355777;0;0;0;-1;-3.023e+217
22;10;0.0205578;0.0524074;0;0.379391;0;0;0;-1;-2.94379e+256
23;10;329.457;329.457;0;0.562022;0;0;0;-1;-2.90155e+255
24;10;107.14;108.997;0;0.506167;0;0;0;-1;-3.12305e+230
25;10;100;156.271;0;0.557859;0;0;0;-1;-5.77319e+274
26;10;100.013;100.048;0;3.32126;0;0;0;-1;-2.6683e+270
27;10;0.578561;57.7391;0;3.32848;0;0;0;-1;-3.21843e+292
28;10;360.061;402.155;0;0.769944;0;0;0;-1;-2.55832e+283
29;10;221.753;222.222;0;1.07968;0;0;0;-1;-1.71047e+233
30;10;462.305;466.155;0;0.743755;0;0;0;-1;-3.03018e+164
