Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.122864;0;0;0;-1;-1.01158e+180
2;10;0;0;0;0.132754;0;0;0;-1;-1.43724e+224
3;10;0;0;0;0.100505;0;0;0;-1;-2.62475e+222
4;10;4.33541;29.7061;0;0.190391;0;0;0;-1;-5.43892e+278
5;10;1.15515;19.3786;0;0.12799;0;0;0;-1;-7.2855e+193
6;10;0;5.32405e-06;0;2.11348;0;0;0;-1;-7.47251e+281
7;10;0;0.00147921;0;0.149583;0;0;0;-1;-1.07854e+271
8;10;0;0;0;0.0998673;0;0;0;-1;-4.86876e+218
9;10;1.98992;2.3879;0;0.166909;0;0;0;-1;-6.03833e+248
10;10;0;0.0124909;0;0.167175;0;0;0;-1;-2.14987e+248
11;10;0.37473;10.3455;0;0.228262;0;0;0;-1;-3.02477e+157
12;10;0.0106358;0.0415694;0;0.888059;0;0;0;-1;-3.54002e+201
13;10;0.0439995;0.0501652;0;0.126615;0;0;0;-1;-2.75497e+191
14;10;0.042689;0.0678627;0;0.124812;0;0;0;-1;-3.23187e+205
15;10;0.266544;0.33916;0;0.178333;0;0;0;-1;-1.04572e+160
16;10;0.973112;1.33433;0;0.17191;0;0;0;-1;-2.52467e+233
17;10;0;0.636929;0;0.228394;0;0;0;-1;-4.03147e+202
18;10;0.0885003;0.282987;0;0.210067;0;0;0;-1;-4.52738e+251
19;10;0.0312161;0.0926195;0;0.728962;0;0;0;-1;-1.10127e+206
20;10;0.0596359;0.099324;0;0.178667;0;0;0;-1;-5.64083e+183
21;10;0.255022;0.491139;0;0.274344;0;0;0;-1;-8.20025e+190
22;10;0.0255422;0.0595933;0;0.285397;0;0;0;-1;-8.36586e+216
23;10;329.457;329.457;0;0.463825;0;0;0;-1;-3.37214e+222
24;10;107.352;109.169;0;0.4011;0;0;0;-1;-3.17238e+304
25;10;107.178;119.535;0;0.440124;0;0;0;-1;-5.44562e+164
26;10;100.016;100.051;0;3.32419;0;0;0;-1;-3.7521e+227
27;10;0.941913;77.7167;0;3.27853;0;0;0;-1;-6.98937e+173
28;10;369.371;390.995;0;0.692466;0;0;0;-1;-1.16909e+257
29;10;221.756;222.082;0;1.11629;0;0;0;-1;-3.66192e+219
30;10;462.307;471.656;0;0.64473;0;0;0;-1;-2.09724e+173
