Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.168782;0;0;0;-1;-6.85015e+289
2;10;0;0;0;0.188653;0;0;0;-1;-7.7651e+243
3;10;0;0;0;0.131176;0;0;0;-1;-2.27107e+305
4;10;0;23.1868;0;0.256039;0;0;0;-1;-1.43025e+249
5;10;1.44038e-06;17.3333;0;0.207672;0;0;0;-1;-1.46183e+231
6;10;0;0;0;2.10658;0;0;0;-1;-5.44955e+239
7;10;0;0.0012321;0;0.217739;0;0;0;-1;-6.95551e+246
8;10;0;0;0;0.140229;0;0;0;-1;-4.7889e+171
9;10;0.994959;2.78589;0;0.256838;0;0;0;-1;-7.67795e+188
10;10;0;0.0166545;0;0.221005;0;0;0;-1;-7.98147e+221
11;10;0.312272;33.4519;0;0.315407;0;0;0;-1;-7.58722e+305
12;10;0.0109318;0.0386948;0;1.02661;0;0;0;-1;-3.53859e+295
13;10;0.0268423;0.0375157;0;0.179571;0;0;0;-1;-3.74723e+255
14;10;0.0220968;0.0524422;0;0.20169;0;0;0;-1;-3.38182e+177
15;10;0.306082;0.409701;0;0.375187;0;0;0;-1;-6.72464e+210
16;10;0.262268;1.14781;0;0.331635;0;0;0;-1;-1.46774e+277
17;10;0.416286;1.70432;0;0.352335;0;0;0;-1;-2.03873e+235
18;10;0.00190374;0.331451;0;0.340051;0;0;0;-1;-6.51602e+295
19;10;0.0309197;0.100187;0;1.00316;0;0;0;-1;-6.30211e+207
20;10;0.00274507;0.125419;0;0.27976;0;0;0;-1;-2.10537e+277
21;10;0.00271086;0.440233;0;0.407862;0;0;0;-1;-3.78441e+298
22;10;0.0150547;0.0612922;0;0.402693;0;0;0;-1;-1.28854e+290
23;10;329.457;329.457;0;0.584049;0;0;0;-1;-2.11235e+190
24;10;106.595;109.255;0;0.591556;0;0;0;-1;-1.83203e+231
25;10;107.172;138.141;0;0.746349;0;0;0;-1;-5.85498e+289
26;10;100.017;100.034;0;3.78015;0;0;0;-1;-1.11614e+159
27;10;0.843511;57.7268;0;3.64592;0;0;0;-1;-3.57087e+180
28;10;357.1;384.02;0;0.878092;0;0;0;-1;-1.46197e+270
29;10;221.541;222.235;0;1.40809;0;0;0;-1;-1.86481e+299
30;10;462.306;466.307;0;0.843393;0;0;0;-1;-5.98824e+236
