Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.289106;0;0;0;-1;-1.96771e+192
2;10;0;0;0;0.305302;0;0;0;-1;-1.80659e+164
3;10;0;0;0;0.252399;0;0;0;-1;-1.03825e+168
4;10;34.7803;34.7803;0;0.40153;0;0;0;-1;-1.87903e+276
5;10;0.0181763;16.3042;0;0.204847;0;0;0;-1;-6.74005e+225
6;10;0;0;0;2.27081;0;0;0;-1;-9.03529e+233
7;10;0;0.000739616;0;0.265134;0;0;0;-1;-1.79031e+240
8;10;0;0;0;0.2135;0;0;0;-1;-2.67048e+195
9;10;0.996685;2.78622;0;0.223759;0;0;0;-1;-2.9271e+294
10;10;0;0.0124909;0;0.28657;0;0;0;-1;-5.5884e+254
11;10;3.60234;34.1195;0;0.289141;0;0;0;-1;-2.73331e+270
12;10;0.0174235;0.0513532;0;0.997912;0;0;0;-1;-1.18282e+188
13;10;0.0157755;0.0418056;0;0.198455;0;0;0;-1;-9.33443e+281
14;10;0.0392439;0.0724502;0;0.177633;0;0;0;-1;-3.93702e+209
15;10;0.38614;0.425115;0;0.274458;0;0;0;-1;-1.10241e+164
16;10;0.645415;1.15858;0;0.221767;0;0;0;-1;-1.91523e+279
17;10;0.208143;2.43308;0;0.376359;0;0;0;-1;-6.195e+262
18;10;0.0249638;0.234203;0;0.398275;0;0;0;-1;-6.6136e+261
19;10;0.0277191;0.109904;0;0.861734;0;0;0;-1;-7.90435e+279
20;10;0.0300256;0.134316;0;0.27496;0;0;0;-1;-1.29695e+183
21;10;0.000108603;0.427919;0;0.486138;0;0;0;-1;-1.43029e+296
22;10;0.0288909;0.0727534;0;0.395845;0;0;0;-1;-1.69568e+294
23;10;329.457;329.457;0;0.668812;0;0;0;-1;-3.30442e+234
24;10;100.001;107.855;0;0.496571;0;0;0;-1;-1.81481e+180
25;10;100;157.388;0;0.563494;0;0;0;-1;-2.97928e+236
26;10;100.032;100.06;0;3.3501;0;0;0;-1;-3.73895e+262
27;10;0.80005;44.5111;0;3.36798;0;0;0;-1;-1.25248e+165
28;10;368.81;393.036;0;0.854379;0;0;0;-1;-1.32757e+245
29;10;221.536;222.167;0;1.23432;0;0;0;-1;-1.7624e+291
30;10;462.307;472.018;0;0.880048;0;0;0;-1;-9.68805e+159
