Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.190133;0;0;0;-1;-6.36713e+294
2;10;0;0;0;0.207134;0;0;0;-1;-7.1708e+278
3;10;0;0;0;0.146264;0;0;0;-1;-nan
4;10;34.7803;34.7803;0;0.292959;0;0;0;-1;-1.11218e+269
5;10;0;13.3388;0;0.172089;0;0;0;-1;-3.55388e+159
6;10;0;0;0;2.15495;0;0;0;-1;-2.60559e+240
7;10;0;0.00558473;0;0.237888;0;0;0;-1;-1.06627e+192
8;10;0;0;0;0.147876;0;0;0;-1;-2.37971e+219
9;10;1.98992;2.71955;0;0.213451;0;0;0;-1;-6.34533e+206
10;10;0;0;0;0.229875;0;0;0;-1;-1.45622e+175
11;10;6.82992;45.8812;0;0.285541;0;0;0;-1;-7.50237e+251
12;10;0.019078;0.0447731;0;0.976244;0;0;0;-1;-3.26953e+230
13;10;0.0201722;0.0529839;0;0.148882;0;0;0;-1;-5.69392e+238
14;10;0.0675593;0.0836515;0;0.155875;0;0;0;-1;-1.33964e+293
15;10;0.283726;0.380437;0;0.220821;0;0;0;-1;-9.16769e+167
16;10;0.588806;1.08344;0;0.204501;0;0;0;-1;-8.37134e+213
17;10;0.208143;0.950819;0;0.308381;0;0;0;-1;-7.43419e+272
18;10;0.0116929;0.194588;0;0.331635;0;0;0;-1;-4.06851e+198
19;10;0.0309745;0.118194;0;0.82416;0;0;0;-1;-2.92883e+252
20;10;0.0533613;0.169544;0;0.226235;0;0;0;-1;-2.39763e+280
21;10;0.0022692;0.339477;0;0.348915;0;0;0;-1;-2.30574e+293
22;10;0.0415529;0.0729308;0;0.338542;0;0;0;-1;-4.62583e+306
23;10;329.457;329.457;0;0.550239;0;0;0;-1;-1.32642e+266
24;10;107.941;109.268;0;0.459735;0;0;0;-1;-7.01329e+250
25;10;107.185;126.22;0;0.514292;0;0;0;-1;-1.31217e+275
26;10;100.035;100.053;0;3.57905;0;0;0;-1;-3.11329e+296
27;10;0.878393;91.0141;0;3.66394;0;0;0;-1;-1.3384e+174
28;10;369.371;404.177;0;0.739825;0;0;0;-1;-7.58569e+242
29;10;221.539;222.069;0;1.14237;0;0;0;-1;-1.80708e+259
30;10;462.307;462.582;0;0.729399;0;0;0;-1;-1.50547e+207
