Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.11681;0;0;0;-1;-1.89847e+166
2;10;0;0;0;0.124649;0;0;0;-1;-6.39851e+156
3;10;0;0;0;0.0977332;0;0;0;-1;-1.86441e+164
4;10;34.7803;34.7803;0;0.183447;0;0;0;-1;-1.01034e+298
5;10;20;20.0053;0;0.13362;0;0;0;-1;-4.8033e+272
6;10;0;0;0;1.94735;0;0;0;-1;-2.36515e+210
7;10;0;0;0;0.13684;0;0;0;-1;-1.67511e+252
8;10;0;0;0;0.0972665;0;0;0;-1;-2.5223e+168
9;10;0.994959;2.18891;0;0.159874;0;0;0;-1;-1.63737e+239
10;10;0;0.0124909;0;0.15935;0;0;0;-1;-5.73722e+253
11;10;13.6599;32.2341;0;0.222424;0;0;0;-1;-2.50436e+178
12;10;0.00800355;0.0420464;0;0.858426;0;0;0;-1;-4.16473e+185
13;10;0.0265178;0.0466274;0;0.127743;0;0;0;-1;-1.26491e+244
14;10;0.0191847;0.0580644;0;0.11915;0;0;0;-1;-3.75567e+306
15;10;0.238657;0.370444;0;0.170565;0;0;0;-1;-6.97383e+207
16;10;0.524599;1.1875;0;0.167579;0;0;0;-1;-9.94206e+259
17;10;0.208143;1.35727;0;0.217436;0;0;0;-1;-3.61419e+195
18;10;0.0128703;0.254094;0;0.197119;0;0;0;-1;-8.53635e+155
19;10;0.0198826;0.112822;0;0.716404;0;0;0;-1;-1.96714e+295
20;10;0.0718908;0.166694;0;0.168373;0;0;0;-1;-2.30858e+157
21;10;0.0122642;0.452528;0;0.24861;0;0;0;-1;-1.68188e+165
22;10;0.0678486;0.0862782;0;0.278435;0;0;0;-1;-1.55857e+301
23;10;329.457;329.457;0;0.458168;0;0;0;-1;-9.13979e+252
24;10;105.896;108.563;0;0.406489;0;0;0;-1;-8.1087e+266
25;10;108.441;140.43;0;0.433398;0;0;0;-1;-7.70406e+297
26;10;100.019;100.056;0;3.21934;0;0;0;-1;-5.43414e+222
27;10;0.634793;31.2277;0;3.20779;0;0;0;-1;-2.32679e+277
28;10;356.827;388.714;0;0.619476;0;0;0;-1;-8.67199e+161
29;10;221.756;222.037;0;1.00045;0;0;0;-1;-2.05982e+164
30;10;462.307;463.527;0;0.589963;0;0;0;-1;-6.48529e+180
