Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.0870978;0;0;0;-1;6.15537e-310
2;10;0;0;0;0.0813901;0;0;0;-1;6.35677e-310
3;10;0;0;0;0.0696694;0;0;0;-1;6.29202e-310
4;10;0;25.5055;0;0.124805;0;0;0;-1;6.88522e-310
5;10;20.0033;20.0082;0;0.107069;0;0;0;-1;6.47247e-310
6;10;0;0;0;1.91308;0;0;0;-1;6.36259e-310
7;10;0;0.00123267;0;0.12376;0;0;0;-1;6.48701e-310
8;10;0;0;0;0.0695846;0;0;0;-1;6.73775e-310
9;10;1.98992;3.68135;0;0.129663;0;0;0;-1;6.73536e-310
10;10;0;0;0;0.123534;0;0;0;-1;6.3499e-310
11;10;6.89238;23.9117;0;0.190812;0;0;0;-1;6.25263e-310
12;10;0.0109153;0.0521486;0;0.834074;0;0;0;-1;6.23982e-310
13;10;0.0329452;0.0572981;0;0.105887;0;0;0;-1;6.78352e-310
14;10;0.0317788;0.0639967;0;0.104219;0;0;0;-1;6.89989e-310
15;10;0.392936;0.407334;0;0.136762;0;0;0;-1;6.13688e-310
16;10;0.628946;0.872561;0;0.141107;0;0;0;-1;6.63966e-310
17;10;0.624429;2.30213;0;0.181618;0;0;0;-1;6.74121e-310
18;10;0.137057;0.341396;0;0.169698;0;0;0;-1;6.70665e-310
19;10;0.0495769;0.0864205;0;0.674068;0;0;0;-1;6.33652e-310
20;10;0.0505989;0.166892;0;0.147768;0;0;0;-1;6.21542e-310
21;10;0.00172163;0.228522;0;0.201843;0;0;0;-1;6.31442e-310
22;10;0.00103417;0.0558748;0;0.260802;0;0;0;-1;6.52147e-310
23;10;329.457;329.457;0;0.410384;0;0;0;-1;6.29926e-310
24;10;107.942;109.025;0;0.369497;0;0;0;-1;6.94493e-310
25;10;100;130.376;0;0.400679;0;0;0;-1;6.79e-310
26;10;100.012;100.051;0;3.21928;0;0;0;-1;6.16868e-310
27;10;1.0238;74.499;0;3.22201;0;0;0;-1;6.61562e-310
28;10;360.061;392.162;0;0.578199;0;0;0;-1;6.30312e-310
29;10;221.541;222.081;0;0.934738;0;0;0;-1;6.58835e-310
30;10;462.307;474.398;0;0.547004;0;0;0;-1;6.93329e-310
