Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;7.28873e-09;0.00249937;0;1.14533;0;0;0;-1;7.90505e-323
2;10;1.07673e-09;6.13819e-09;0;0.444495;0;0;0;-1;7.90505e-323
3;10;1.14863e-09;5.96471e-09;0;0.497805;0;0;0;-1;7.90505e-323
4;10;5.35596e-09;4.38103e-06;0;0.622947;0;0;0;-1;7.90505e-323
5;10;9.50041e-09;15.6589;0;1.2041;0;0;0;-1;7.90505e-323
6;10;7.06984e-09;0.00103606;0;6.26859;0;0;0;-1;7.90505e-323
7;10;2.21814e-09;0.00106819;0;0.82791;0;0;0;-1;7.90505e-323
8;10;3.16845e-09;7.35998e-09;0;0.161474;0;0;0;-1;7.90505e-323
9;10;0.994959;2.85237;0;1.18845;0;0;0;-1;7.90505e-323
10;10;2.61025e-09;0.00624545;0;0.327451;0;0;0;-1;7.90505e-323
11;10;0.312272;44.2999;0;1.34592;0;0;0;-1;7.90505e-323
12;10;8.53925e-09;0.0231509;0;2.69939;0;0;0;-1;7.90505e-323
13;10;0.0488268;0.105282;0;1.22524;0;0;0;-1;7.90505e-323
14;10;0.106535;0.165977;0;1.23741;0;0;0;-1;7.90505e-323
15;10;0.157863;0.465599;0;1.23474;0;0;0;-1;7.90505e-323
16;10;0.588127;1.5638;0;1.24749;0;0;0;-1;7.90505e-323
17;10;0.416286;31.4977;0;1.29706;0;0;0;-1;7.90505e-323
18;10;0.0012497;0.336565;0;1.27038;0;0;0;-1;7.90505e-323
19;10;7.06359e-09;0.0329978;0;2.16419;0;0;0;-1;7.90505e-323
20;10;0.00222084;0.209499;0;1.25096;0;0;0;-1;7.90505e-323
21;10;1.20534e-05;4.7226;0;1.2988;0;0;0;-1;7.90505e-323
22;10;6.92274e-05;0.0409317;0;1.43117;0;0;0;-1;7.90505e-323
23;10;7.49878e-09;218.062;0;1.45097;0;0;0;-1;7.90505e-323
24;10;107.34;113.066;0;1.65365;0;0;0;-1;7.90505e-323
25;10;109.964;128.64;0;1.72923;0;0;0;-1;7.90505e-323
26;10;100.023;100.074;0;7.46694;0;0;0;-1;7.90505e-323
27;10;0.787661;7.20172;0;7.41606;0;0;0;-1;7.90505e-323
28;10;101.445;349.839;0;2.1198;0;0;0;-1;7.90505e-323
29;10;196.521;219.021;0;2.89305;0;0;0;-1;7.90505e-323
30;10;459.687;515.096;0;2.01181;0;0;0;-1;7.90505e-323
