Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.122185;0;0;0;-1;-inf
2;10;0;0;0;0.128561;0;0;0;-1;-4.56136e+270
3;10;0;0;0;0.101255;0;0;0;-1;-3.87986e+175
4;10;34.7803;34.7803;0;0.198728;0;0;0;-1;-4.79458e+197
5;10;0.000686631;16.0046;0;0.132378;0;0;0;-1;-2.83859e+180
6;10;0;0;0;2.07088;0;0;0;-1;-7.17977e+217
7;10;0;0.0028756;0;0.177096;0;0;0;-1;-1.28677e+300
8;10;0;0;0;0.103894;0;0;0;-1;-2.78934e+163
9;10;1.98992;3.11754;0;0.172446;0;0;0;-1;-1.01609e+189
10;10;0;0;0;0.170558;0;0;0;-1;-1.8677e+157
11;10;6.83623;23.3834;0;0.262852;0;0;0;-1;-6.09871e+252
