Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.286872;0;0;0;-1;-9.13592e+279
2;10;0;0;0;0.303999;0;0;0;-1;-3.89346e+158
3;10;0;0;0;0.234158;0;0;0;-1;-2.01618e+170
4;10;0;30.1429;0;0.412102;0;0;0;-1;-1.98075e+155
5;10;0.00807751;14.1976;0;0.192823;0;0;0;-1;-1.21169e+286
6;10;0;0;0;2.48662;0;0;0;-1;-6.62089e+286
7;10;0;0.00075094;0;0.287604;0;0;0;-1;-1.54985e+302
8;10;0;0;0;0.230554;0;0;0;-1;-2.07624e+211
9;10;1.98992;3.21704;0;0.238464;0;0;0;-1;-2.32402e+217
10;10;0;0;0;0.292445;0;0;0;-1;-2.95523e+303
11;10;7.0173;27.067;0;0.301136;0;0;0;-1;-7.3307e+232
12;10;0.00282955;0.0444496;0;1.02771;0;0;0;-1;-3.41894e+226
13;10;0.0328689;0.0498486;0;0.189982;0;0;0;-1;-2.75997e+195
14;10;0.0375351;0.0583213;0;0.192019;0;0;0;-1;-inf
15;10;0.294141;0.411799;0;0.261666;0;0;0;-1;-1.66161e+286
16;10;0.287388;1.01856;0;0.249222;0;0;0;-1;-7.96711e+207
17;10;0.208143;1.14981;0;0.429972;0;0;0;-1;-6.90535e+223
18;10;0.0216944;0.222289;0;0.380005;0;0;0;-1;-1.78265e+208
19;10;0.0332641;0.0835955;0;0.875626;0;0;0;-1;-1.00977e+174
20;10;0.0448992;0.11717;0;0.299655;0;0;0;-1;-8.93554e+162
21;10;0.00121805;0.345055;0;0.553463;0;0;0;-1;-6.58267e+303
22;10;0.00141358;0.0516853;0;0.404275;0;0;0;-1;-2.03156e+260
23;10;329.457;329.457;0;0.663212;0;0;0;-1;-4.74149e+220
24;10;106.76;108.711;0;0.495414;0;0;0;-1;-5.16984e+246
25;10;100;135.863;0;0.590806;0;0;0;-1;-9.04583e+255
26;10;100.021;100.053;0;3.66536;0;0;0;-1;-3.27574e+164
27;10;0.70657;47.9458;0;3.64338;0;0;0;-1;-6.44451e+233
28;10;368.805;378.079;0;0.911726;0;0;0;-1;-8.09717e+260
29;10;221.541;222.266;0;1.36743;0;0;0;-1;-6.76451e+249
30;10;462.307;464.791;0;0.878896;0;0;0;-1;-3.81014e+172
