Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.13371;0;0;0;-1;-9.1078e+277
2;10;0;0;0;0.131122;0;0;0;-1;-inf
3;10;0;0;0;0.104446;0;0;0;-1;-6.98109e+247
4;10;34.7803;34.7803;0;0.203396;0;0;0;-1;-2.57993e+166
5;10;1.15515;15.6056;0;0.139935;0;0;0;-1;-2.13781e+194
6;10;0;0;0;1.98014;0;0;0;-1;-7.15179e+154
7;10;0;0.00295448;0;0.145798;0;0;0;-1;-1.81714e+163
8;10;0;0;0;0.107154;0;0;0;-1;-2.98497e+230
9;10;0.995407;2.75281;0;0.175863;0;0;0;-1;-2.09541e+259
10;10;0;0.0187363;0;0.179681;0;0;0;-1;-1.63586e+239
11;10;3.72723;34.8638;0;0.241511;0;0;0;-1;-3.29287e+184
12;10;0.0131367;0.0380538;0;0.899764;0;0;0;-1;-2.59376e+215
13;10;0.0130453;0.0494016;0;0.137329;0;0;0;-1;-inf
14;10;0.0464037;0.0803207;0;0.129219;0;0;0;-1;-1.82693e+253
15;10;0.30991;0.41336;0;0.179173;0;0;0;-1;-8.03715e+254
16;10;1.22977;1.4426;0;0.167921;0;0;0;-1;-7.62306e+186
17;10;0;2.01421;0;0.230214;0;0;0;-1;-1.16181e+158
18;10;0.01823;0.180359;0;0.218065;0;0;0;-1;-1.25919e+295
19;10;0.0272556;0.0848733;0;0.758501;0;0;0;-1;-8.39217e+257
20;10;0.0330368;0.170979;0;0.186799;0;0;0;-1;-3.54824e+194
21;10;0.00144725;0.420097;0;0.29647;0;0;0;-1;-6.00984e+185
22;10;0.0195446;0.064161;0;0.297943;0;0;0;-1;-2.05936e+161
23;10;329.457;329.457;0;0.485551;0;0;0;-1;-3.52507e+266
24;10;107.35;109.19;0;0.408571;0;0;0;-1;-2.01124e+278
25;10;107.172;124.452;0;0.458944;0;0;0;-1;-3.8053e+178
26;10;100.033;100.053;0;3.59544;0;0;0;-1;-7.57062e+199
27;10;0.667781;97.7779;0;3.62785;0;0;0;-1;-1.8144e+234
28;10;357.092;385.258;0;0.680719;0;0;0;-1;-4.43473e+298
29;10;221.756;222.197;0;1.12298;0;0;0;-1;-6.3768e+172
30;10;454.289;467.095;0;0.64142;0;0;0;-1;-1.085e+207
