Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.25702;0;0;0;-1;-4.59399e+200
2;10;0;0;0;0.287682;0;0;0;-1;-3.40416e+296
3;10;0;0;0;0.199298;0;0;0;-1;-7.66053e+181
4;10;0;26.6649;0;0.350188;0;0;0;-1;-9.32269e+285
5;10;5.95464e-05;13.9789;0;0.222402;0;0;0;-1;-3.68152e+259
6;10;0;0;0;2.37245;0;0;0;-1;-8.59154e+235
7;10;0;0.000657152;0;0.278006;0;0;0;-1;-inf
8;10;0;0;0;0.218975;0;0;0;-1;-3.87945e+272
9;10;0.994959;2.62006;0;0.268609;0;0;0;-1;-7.17419e+267
10;10;0;0;0;0.266085;0;0;0;-1;-5.23128e+191
11;10;0.437236;38.7983;0;0.33445;0;0;0;-1;-5.47183e+275
12;10;0.0139644;0.0417073;0;1.11501;0;0;0;-1;-1.9005e+199
13;10;0.0244805;0.040899;0;0.224291;0;0;0;-1;-1.02862e+206
14;10;0.0127956;0.0541458;0;0.225819;0;0;0;-1;-1.11834e+186
15;10;0.258691;0.417325;0;0.291724;0;0;0;-1;-6.53185e+224
16;10;0.544354;1.10404;0;0.287193;0;0;0;-1;-1.79054e+232
17;10;0.208143;3.83399;0;0.441052;0;0;0;-1;-6.76913e+222
18;10;0.00779269;0.273142;0;0.392996;0;0;0;-1;-1.3922e+217
19;10;0.0219901;0.163294;0;0.98762;0;0;0;-1;-1.27836e+218
20;10;0.0603739;0.106649;0;0.333595;0;0;0;-1;-1.38215e+215
21;10;0.00163497;0.331027;0;0.45847;0;0;0;-1;-1.01001e+238
22;10;0.0148048;0.0646286;0;0.398864;0;0;0;-1;-1.49951e+271
23;10;329.457;329.457;0;0.658156;0;0;0;-1;-3.32015e+251
24;10;107.008;109.648;0;0.527496;0;0;0;-1;-1.19969e+233
25;10;100;143.839;0;0.616529;0;0;0;-1;-3.9372e+276
26;10;100.016;100.05;0;3.80369;0;0;0;-1;-1.73248e+177
27;10;0.784304;44.5497;0;3.76389;0;0;0;-1;-2.12835e+185
28;10;368.759;394.854;0;0.918359;0;0;0;-1;-1.27688e+250
29;10;221.536;222.123;0;1.39303;0;0;0;-1;-6.25467e+185
30;10;462.307;469.623;0;0.907306;0;0;0;-1;-3.48196e+204
