Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.159685;0;0;0;-1;-8.31023e+159
2;10;0;0;0;0.171509;0;0;0;-1;-1.19161e+273
3;10;0;0;0;0.125555;0;0;0;-1;-1.2405e+242
4;10;0;25.5055;0;0.256403;0;0;0;-1;-5.89626e+255
5;10;0;13.3334;0;0.207035;0;0;0;-1;-1.1651e+301
6;10;0;0;0;2.1873;0;0;0;-1;-4.16973e+288
7;10;0;0.00295538;0;0.21005;0;0;0;-1;-3.97452e+228
8;10;0;0;0;0.124173;0;0;0;-1;-2.79434e+279
9;10;1.98992;3.1507;0;0.24031;0;0;0;-1;-1.14388e+284
10;10;0;0;0;0.185151;0;0;0;-1;-1.17668e+250
11;10;0.187363;34.7833;0;0.307553;0;0;0;-1;-1.14753e+262
12;10;0.00840403;0.0540684;0;1.06203;0;0;0;-1;-6.70825e+177
13;10;0.0195451;0.0353458;0;0.171746;0;0;0;-1;-1.60366e+267
14;10;0.0479471;0.0770422;0;0.181338;0;0;0;-1;-3.00156e+163
15;10;0.264342;0.423219;0;0.36268;0;0;0;-1;-1.90655e+190
16;10;0.834066;1.08142;0;0.292184;0;0;0;-1;-6.02996e+157
17;10;0.624429;3.1949;0;0.355794;0;0;0;-1;-1.58769e+239
18;10;0.0260514;0.322282;0;0.341148;0;0;0;-1;-5.49717e+259
19;10;0.029214;0.0745421;0;0.971701;0;0;0;-1;-1.26274e+253
20;10;0.0224005;0.141622;0;0.28439;0;0;0;-1;-8.76147e+230
21;10;7.74722e-05;0.565957;0;0.407475;0;0;0;-1;-5.42743e+175
22;10;0.00904719;0.0716205;0;0.366102;0;0;0;-1;-5.2592e+240
23;10;329.457;329.457;0;0.562891;0;0;0;-1;-2.71157e+244
24;10;107.14;109.431;0;0.562318;0;0;0;-1;-3.58746e+268
25;10;108.441;145.474;0;0.651796;0;0;0;-1;-1.52132e+233
26;10;100.01;100.035;0;3.67123;0;0;0;-1;-9.46652e+214
27;10;0.978016;34.6209;0;3.6099;0;0;0;-1;-1.107e+179
28;10;369.371;383.841;0;0.752764;0;0;0;-1;-9.91356e+232
29;10;221.541;222.167;0;1.29141;0;0;0;-1;-1.32776e+259
30;10;462.306;462.343;0;0.761341;0;0;0;-1;-1.66034e+172
