Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.311473;0;0;0;-1;-9.62738e+223
2;10;0;0;0;0.349586;0;0;0;-1;-1.20517e+245
3;10;0;0;0;0.256557;0;0;0;-1;-7.94619e+201
4;10;0;33.6209;0;0.451806;0;0;0;-1;-4.24702e+276
5;10;0.431897;12.4744;0;0.214077;0;0;0;-1;-2.76511e+265
6;10;0;0;0;2.32287;0;0;0;-1;-6.68775e+217
7;10;0;0;0;0.294508;0;0;0;-1;-3.15227e+204
8;10;0;0;0;0.239565;0;0;0;-1;-3.38571e+174
9;10;1.99002;2.91977;0;0.246641;0;0;0;-1;-4.35502e+219
10;10;0;0;0;0.296014;0;0;0;-1;-2.61994e+254
11;10;3.71888;50.723;0;0.2901;0;0;0;-1;-1.44991e+178
12;10;0.0337443;0.0631643;0;0.98171;0;0;0;-1;-6.17274e+163
13;10;0.0208994;0.0522407;0;0.217571;0;0;0;-1;-5.9627e+306
14;10;0.0517206;0.082597;0;0.206414;0;0;0;-1;-1.21964e+290
15;10;0.331081;0.409409;0;0.285204;0;0;0;-1;-3.39719e+185
16;10;0.848661;1.35345;0;0.242455;0;0;0;-1;-4.81876e+154
17;10;0.208143;1.27012;0;0.44928;0;0;0;-1;-9.14393e+234
18;10;0.023779;0.220536;0;0.467675;0;0;0;-1;-7.72674e+204
19;10;0.0371255;0.119249;0;0.86788;0;0;0;-1;-1.34383e+231
20;10;0.0592973;0.162063;0;0.325;0;0;0;-1;-6.3327e+253
21;10;0.00023149;0.411274;0;0.568922;0;0;0;-1;-7.51519e+247
22;10;0.00778086;0.0673609;0;0.434381;0;0;0;-1;-6.49467e+176
23;10;329.457;329.457;0;0.700134;0;0;0;-1;-7.52542e+217
24;10;107.433;109.217;0;0.489284;0;0;0;-1;-1.07037e+234
25;10;100;129.346;0;0.571575;0;0;0;-1;-1.95414e+182
26;10;100.01;100.054;0;3.56081;0;0;0;-1;-1.13603e+300
27;10;1.01034;64.5831;0;3.53561;0;0;0;-1;-2.82491e+215
28;10;368.85;376.876;0;0.923924;0;0;0;-1;-6.91364e+171
29;10;221.541;222.229;0;1.35854;0;0;0;-1;-9.00894e+162
30;10;462.307;467.571;0;0.908461;0;0;0;-1;-1.17822e+220
