Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.248558;0;0;0;-1;-2.94385e+168
2;10;0;0;0;0.267886;0;0;0;-1;-5.1422e+269
3;10;0;0;0;0.206968;0;0;0;-1;-7.94923e+283
4;10;0;26.6649;0;0.328553;0;0;0;-1;-2.73852e+223
5;10;0.000701278;19.3236;0;0.187786;0;0;0;-1;-4.13237e+200
6;10;0;8.41919e-05;0;2.30928;0;0;0;-1;-1.08429e+221
7;10;0;0.00123232;0;0.253909;0;0;0;-1;-7.86291e+197
8;10;0;0;0;0.195816;0;0;0;-1;-1.38284e+242
9;10;0.994959;2.02309;0;0.254229;0;0;0;-1;-5.9533e+209
10;10;0;0.00624544;0;0.261435;0;0;0;-1;-9.03576e+263
11;10;3.47742;16.6065;0;0.300115;0;0;0;-1;-1.26869e+231
12;10;0.0101616;0.0404965;0;0.9512;0;0;0;-1;-6.14268e+252
13;10;0.0256438;0.0464987;0;0.182343;0;0;0;-1;-4.98265e+200
14;10;0.0473358;0.0656335;0;0.180418;0;0;0;-1;-8.84031e+164
15;10;0.246045;0.368389;0;0.245197;0;0;0;-1;-3.0058e+173
16;10;0.524079;0.969747;0;0.246928;0;0;0;-1;-2.48204e+176
17;10;0.208143;1.14287;0;0.398386;0;0;0;-1;-7.94659e+184
18;10;0.0332337;0.367382;0;0.363095;0;0;0;-1;-8.05954e+210
19;10;0.0321525;0.172717;0;0.792088;0;0;0;-1;-5.91338e+179
20;10;0.0382395;0.171204;0;0.294439;0;0;0;-1;-5.31994e+268
21;10;0.000396491;0.369995;0;0.452623;0;0;0;-1;-2.17095e+263
22;10;0.0214009;0.0731835;0;0.365654;0;0;0;-1;-1.04968e+233
23;10;329.457;329.457;0;0.62716;0;0;0;-1;-8.95132e+203
24;10;106.701;108.571;0;0.502326;0;0;0;-1;-6.22305e+173
25;10;108.715;124.585;0;0.574952;0;0;0;-1;-4.99459e+206
26;10;100.022;100.05;0;3.4407;0;0;0;-1;-2.10796e+211
27;10;0.788139;51.1569;0;3.31061;0;0;0;-1;-5.50882e+183
28;10;360.061;384.658;0;0.840807;0;0;0;-1;-1.65581e+252
29;10;221.541;222.087;0;1.3016;0;0;0;-1;-1.30885e+189
30;10;462.307;465.374;0;0.822931;0;0;0;-1;-2.08454e+256
