Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.117899;0;0;0;-1;-3.97684e+167
2;10;0;0;0;0.125751;0;0;0;-1;-5.35499e+199
3;10;0;0;0;0.0956762;0;0;0;-1;-4.96588e+182
4;10;34.7803;34.7803;0;0.183763;0;0;0;-1;-1.60058e+291
5;10;19.8697;20.0009;0;0.126265;0;0;0;-1;-1.79458e+162
6;10;0;0;0;2.00091;0;0;0;-1;-2.55462e+253
7;10;0;0;0;0.133993;0;0;0;-1;-1.66366e+213
8;10;0;0;0;0.089912;0;0;0;-1;-8.74697e+294
9;10;1.98992;3.1507;0;0.158373;0;0;0;-1;-2.17299e+256
10;10;0;0;0;0.152408;0;0;0;-1;-6.31103e+278
11;10;6.95483;25.0024;0;0.218009;0;0;0;-1;-1.10084e+255
12;10;0.00663936;0.0354978;0;0.862908;0;0;0;-1;-9.95335e+253
13;10;0.0254921;0.0417702;0;0.118059;0;0;0;-1;-1.03638e+202
14;10;0.0500393;0.05717;0;0.121561;0;0;0;-1;-2.5032e+243
15;10;0.181405;0.357842;0;0.184521;0;0;0;-1;-9.93858e+299
16;10;0.645526;1.19953;0;0.170966;0;0;0;-1;-4.30793e+191
17;10;0;0.961644;0;0.225659;0;0;0;-1;-7.96703e+213
18;10;0.0236879;0.173742;0;0.207712;0;0;0;-1;-2.54469e+234
19;10;0.0245853;0.096475;0;0.716338;0;0;0;-1;-3.31203e+204
20;10;0.0781723;0.123435;0;0.182875;0;0;0;-1;-9.14711e+283
21;10;0.0020373;0.281873;0;0.243968;0;0;0;-1;-1.66851e+290
22;10;0.000880939;0.0886176;0;0.280207;0;0;0;-1;-7.78705e+215
23;10;329.457;329.457;0;0.461602;0;0;0;-1;-1.88082e+166
24;10;108.114;108.974;0;0.396521;0;0;0;-1;-1.44047e+195
25;10;110.019;119.521;0;0.449379;0;0;0;-1;-5.04543e+253
26;10;100.023;100.053;0;3.33901;0;0;0;-1;-3.3866e+205
27;10;0.8247;47.8559;0;3.31343;0;0;0;-1;-2.19674e+261
28;10;368.847;392.054;0;0.660791;0;0;0;-1;-6.21096e+155
29;10;221.54;222.073;0;1.0523;0;0;0;-1;-1.478e+274
30;10;462.307;474.281;0;0.645136;0;0;0;-1;-1.06165e+234
