f;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30
1-100;5.93535e+07;5.88798e+07;5.19206e+07;5.64788e+07;5.62429e+07;5.39309e+07;5.69032e+07;5.80401e+07;5.22211e+07;5.39057e+07;5.93535e+07;5.88798e+07;5.19206e+07;5.64788e+07;5.62429e+07;5.39309e+07;5.69032e+07;5.80401e+07;5.22211e+07;5.39057e+07;5.93535e+07;5.88798e+07;5.19206e+07;5.64788e+07;5.62429e+07;5.39309e+07;5.69032e+07;5.80401e+07;5.22211e+07;5.39057e+07
2-100;4.7886e+09;4.17424e+09;4.36209e+09;4.17284e+09;4.50247e+09;4.62514e+09;4.47856e+09;3.99147e+09;3.90424e+09;4.44858e+09;4.12151e+09;4.33184e+09;4.00184e+09;4.33286e+09;4.84699e+09;4.18639e+09;4.08621e+09;4.41424e+09;4.02852e+09;4.12405e+09;4.13839e+09;4.60911e+09;3.88146e+09;4.22362e+09;3.84282e+09;4.36865e+09;4.43224e+09;4.3887e+09;3.94869e+09;3.56223e+09
3-100;44445.5;42382.7;43228.1;43603.5;44867.2;46102.6;49458.9;45576.5;42604.1;38906.7;40832.6;46466.6;45865.4;44545.7;43287.3;45074.3;43881.8;55204.2;46451.6;52238.3;39480.6;47569.3;44814.1;47367.4;44609;48626.9;41855.3;44944.2;45532.2;38405.2
4-100;643.55;628.464;636.305;662.527;636.677;553.172;622.348;643.915;604.709;606.508;665.717;631.625;604.495;668.44;661.987;635.231;564.986;645.482;610.088;645.2;618.803;580.775;650.227;593.979;545.171;661.788;604.392;629.923;574.712;632.681
5-100;20.8082;20.8168;20.8437;20.832;20.8563;20.8363;20.8236;20.8566;20.8385;20.9283;20.8366;20.8626;20.8176;20.8687;20.852;20.9005;20.8654;20.8197;20.8633;20.8833;20.8371;20.8197;20.8348;20.8443;20.8683;20.9272;20.8594;20.8565;20.8178;20.8569
6-100;9.59899;11.7197;6.67211;12.0124;7.29961;9.08927;10.815;8.07984;14.3503;9.93684;11.4052;12.0248;8.48926;8.37699;9.50555;8.92048;13.406;9.85209;14.1696;13.0934;14.8374;9.97399;10.1647;11.5646;13.3435;9.71604;12.0716;11.8396;15.5629;8.26609
7-100;148.726;147.56;151.366;145.1;144.946;152.801;156.974;146.157;139.682;145.051;140.95;135.261;156.514;152.25;148.905;151.146;152.28;146.461;153.838;147.351;148.833;149.709;153.916;152.544;145.559;144.543;145.124;151.047;143.988;140.81
8-100;182.822;182.453;182.011;189.656;185.462;184.799;190.196;183.509;181.001;187.03;185.85;181.855;182.108;184.992;186.032;186.745;182.498;188.409;187.394;182.355;183.913;183.936;183.69;181.524;185.327;182.253;180.749;174.309;179.172;182.731
9-100;243.964;263.12;248.706;261.828;228.864;256.535;246.759;244.939;245.686;252.579;253.181;254.497;260.13;255.135;255.264;271.829;244.89;249.447;252.717;261.593;254.031;249.549;245.682;271.968;251.537;248.58;258.569;252.989;240.487;257.513
10-100;7023.26;7144.8;6890.04;6928.15;7101.17;6920.63;7112.74;6946.71;6944;6874.32;6873.08;7103.91;7039.83;6952.61;7074.6;6938.22;7066.23;7135.43;7096.54;7058.49;6909.66;6833.65;7140.6;6985.47;6912.54;6952.39;7108.21;6808.77;6829.65;6864.72
11-100;18528.7;18753.9;18792.5;18917.3;17960.2;18722.1;19320.6;18994.6;17761.9;18575.3;18528.7;18753.9;18792.5;18917.3;17960.2;18722.1;19320.6;18994.6;17761.9;18575.3;18528.7;18753.9;18792.5;18917.3;17960.2;18722.1;19320.6;18994.6;17761.9;18575.3
12-100;1.47154;1.32075;1.33143;1.28397;1.58978;1.68787;1.45684;1.56993;1.39748;1.54277;1.35072;1.62439;1.3776;1.52751;1.5927;1.42278;1.58083;1.42163;1.33727;1.59561;1.47011;1.51386;1.38188;1.43552;1.47108;1.40801;1.47582;1.59873;1.4454;1.29873
13-100;0.359796;0.371008;0.315535;0.351076;0.400063;0.370165;0.350069;0.369723;0.378661;0.369578;0.357198;0.375625;0.349742;0.372742;0.384094;0.401787;0.348203;0.396477;0.360611;0.380001;0.420536;0.364735;0.372154;0.325409;0.372083;0.395509;0.333751;0.359341;0.361824;0.343786
14-100;5.08845;5.07121;5.08221;4.86571;4.97667;5.07194;4.95427;5.08668;5.20762;5.02317;4.96236;5.05079;4.94156;5.10935;5.14654;5.01015;5.16506;5.00771;4.89682;5.11665;5.0597;4.86328;4.73209;5.24723;5.17169;5.40551;5.02782;5.08351;4.89837;5.12939
15-100;280803;268698;267329;273798;266789;239855;288004;198720;240441;304974;256609;258677;248434;257434;345676;304523;259689;285554;220085;232086;281549;269614;250767;271792;237011;331277;288946;242334;187728;234461
16-100;42.2514;41.4773;42.4273;41.8036;41.9954;41.7836;41.8983;41.8954;41.8399;42.5578;41.2026;41.7866;41.7872;41.5265;41.926;42.1801;42.5661;42.1532;42.4689;42.1788;41.9853;41.27;41.2035;41.8359;41.5756;42.0403;42.4863;41.7489;42.4188;42.43
17-100;6.50295e+06;6.49312e+06;5.73367e+06;6.51797e+06;7.24723e+06;6.64344e+06;6.89264e+06;7.42931e+06;6.38979e+06;7.39904e+06;6.31069e+06;6.93725e+06;6.27521e+06;7.37791e+06;7.49521e+06;7.15237e+06;7.10115e+06;7.03047e+06;7.06213e+06;7.31763e+06;5.72183e+06;5.92323e+06;6.93768e+06;6.54217e+06;6.79939e+06;6.91694e+06;6.36517e+06;6.97915e+06;7.66209e+06;7.18964e+06
18-100;1.411e+08;1.43752e+08;1.35803e+08;1.46461e+08;1.47703e+08;1.43994e+08;1.28127e+08;1.39663e+08;1.38882e+08;1.40308e+08;1.538e+08;1.39144e+08;1.2925e+08;1.31732e+08;1.50053e+08;1.38071e+08;1.42092e+08;1.43707e+08;1.40961e+08;1.34424e+08;1.45369e+08;1.40818e+08;1.46626e+08;1.47683e+08;1.552e+08;1.4232e+08;1.41532e+08;1.41294e+08;1.35478e+08;1.4282e+08
19-100;121.633;121.581;119.713;119.23;117.208;118.677;121.779;121.391;122.515;122.948;120.535;123.654;118.803;122.358;119.579;116.535;118.566;120.203;119.601;118.629;121.282;120.244;119.426;120.235;120.975;128.226;120.226;120.838;118.457;126.437
20-100;17880.4;20412.2;16722.2;28161.7;19347.5;20070.3;21101.8;23155.1;24143.4;24693.1;29286.2;25551.7;21396;19691.6;22237.7;18801.6;20163.9;25408.3;17930.7;24732.1;26017.7;20555;19372.6;21107;23275.9;18993.2;21456.8;23232.7;15514.4;30306.9
21-100;3.04811e+06;2.7736e+06;3.29538e+06;2.56079e+06;2.97323e+06;2.99584e+06;3.18714e+06;3.49622e+06;3.39541e+06;3.11751e+06;3.04811e+06;2.7736e+06;3.29538e+06;2.56079e+06;2.97323e+06;2.99584e+06;3.18714e+06;3.49622e+06;3.39541e+06;3.11751e+06;3.04811e+06;2.7736e+06;3.29538e+06;2.56079e+06;2.97323e+06;2.99584e+06;3.18714e+06;3.49622e+06;3.39541e+06;3.11751e+06
22-100;1976.56;2246.35;2087.14;2151.11;2037.14;2382.75;2122.53;2102.08;2263.84;2165.97;1927.06;2120.66;1960.09;2194.68;1962.15;1604.25;2214.94;2204.47;2092.53;1972.01;2179.29;2281;1870;1946.72;2119.66;1909.31;2108.2;2339.79;2059.41;2175.74
23-100;366.449;367.18;367.06;367.797;368.008;367.549;368.453;367.302;366.938;367.649;366.155;368.008;367.635;367.649;367.451;365.947;368.637;367.376;368.26;367.85;367.589;367.612;365.817;367.069;367.95;367.677;367.885;368.186;367.119;367.324
24-100;397.258;397.549;396.94;395.802;399.027;397.638;397.17;394.542;391.477;396.942;398.1;399.741;392.336;396.9;398.854;395.62;397.573;393.445;400.705;400.037;403.157;398.221;397.232;401.426;399.337;403.016;395.92;395.648;403.334;398.362
25-100;206.79;206.568;206.433;206.694;206.73;206.375;206.622;206.529;206.569;206.973;206.439;206.5;206.661;207.034;206.676;206.552;206.882;206.614;207.125;206.638;206.664;206.672;207.17;207.045;206.907;206.776;206.588;207.093;206.584;206.259
26-100;203.393;203.62;203.547;203.926;203.602;203.841;203.733;203.583;203.301;203.575;204.042;203.529;203.554;203.77;203.946;203.832;203.528;203.454;203.883;203.973;203.874;203.752;203.759;203.733;203.76;203.733;203.744;203.86;203.793;204.092
27-100;396.647;438.038;430.157;413.678;416.173;447.804;463.284;419.219;419.177;438.069;431.957;405.022;412.738;423.629;428.138;428.766;438.908;414.264;435.479;408.601;420.085;397.185;483.562;392.457;411.522;422.626;419.777;399.034;438.315;417.464
1-100;5.62058e+07;5.53621e+07;5.86281e+07;6.22488e+07;4.85527e+07;5.89652e+07;5.80976e+07;5.64404e+07;5.61716e+07;5.79646e+07;5.93458e+07;5.70816e+07;5.29514e+07;5.33609e+07;5.57683e+07;5.97633e+07;5.63022e+07;5.84863e+07;5.92525e+07;5.38518e+07;6.11733e+07;5.29822e+07;5.51981e+07;5.62735e+07;5.44026e+07;5.77888e+07;5.94757e+07;5.89538e+07;5.56097e+07;5.56286e+07
2-100;3.92907e+09;4.23521e+09;4.0253e+09;3.57484e+09;4.28529e+09;4.14886e+09;4.47034e+09;4.5191e+09;4.49874e+09;4.05215e+09;4.3288e+09;4.02037e+09;4.03899e+09;4.16088e+09;4.17672e+09;3.69368e+09;3.7868e+09;4.20363e+09;4.01304e+09;4.13763e+09;4.34057e+09;3.70572e+09;3.94468e+09;4.06625e+09;3.76064e+09;4.04575e+09;4.49547e+09;3.85394e+09;4.01396e+09;4.21644e+09
3-100;42703;41158;40403.4;41713.2;41855.3;41458.1;44241.7;48119;40859.3;41706.9;42612.8;40387.4;46722.1;41846.6;47210.4;40508.2;45397.5;44015.3;47804.5;44459.6;48975.5;43940.3;49748.2;40809.1;42758.2;38405.2;51910;50714.2;39671.2;49584.6
4-100;622.304;651.264;653.327;657.44;660.291;596.509;577.044;663.398;612.93;640.698;645.143;589.509;555.033;638.772;655.722;649.681;644.511;679.057;581.249;642.988;622.21;636.466;579.773;632.836;578.906;642.77;632.201;578.987;682.528;565.368
5-100;20.8236;20.8582;20.8879;20.8278;20.8371;20.8748;20.8627;20.8162;20.9241;20.8244;20.8102;20.8286;20.9124;20.897;20.8267;20.8699;20.875;20.8442;20.919;20.8201;20.8702;20.8864;20.8509;20.8536;20.8943;20.83;20.8316;20.8639;20.82;20.8968
6-100;8.75484;10.2855;11.8415;12.025;12.2997;11.7405;12.7428;15.5629;13.2646;9.53598;9.42032;10.3987;11.9641;11.6255;7.88592;11.67;8.77243;10.5981;10.1911;8.52273;13.0616;7.90049;11.1765;11.5575;8.92583;12.1568;7.91404;9.25742;10.0295;9.02654
7-100;146.305;153.806;151.226;149.046;146.629;154.274;144.928;145.622;137.012;144.43;140.81;148.02;142.994;148.067;145.226;145.639;147.328;154.07;143.776;145.761;139.709;149.359;150.099;139.109;147.757;147.933;147.392;145.689;153.284;147.1
8-100;184.557;183.627;186.998;187.541;188.181;185.519;186.508;186.519;179.849;181.379;188.003;179.432;185.517;187.545;181.79;182.45;183.311;184.048;184.577;187.058;182.405;183.054;189.169;185.956;184.373;187.603;186.286;179.337;184.146;180.257
9-100;250.844;261.532;257.155;259.578;252.485;252.717;252.141;249.519;252.294;256.011;251.77;265.117;261.548;256.626;253.373;262.444;250.182;255.135;257.889;252.505;258.17;261.377;243.857;248.691;248.025;255.264;248.673;255.549;248.618;247.454
10-100;6878.71;6916.5;7093.49;6931;7080.93;6779.83;6819.46;6995.06;7049.72;6731.89;6936.87;7051.35;6967.02;6901.71;6959.42;7045.46;7044.73;6936.77;7133.29;6870.06;6762.37;7080.16;6925.39;6976.57;6917.88;6973.54;6806.17;7065.6;6905.87;7164.77
11-100;18936.5;19176.4;18913.4;18953.7;18747.2;18686.8;19067.5;18029.8;19168;19118;18755.2;18448.4;18854.9;18930;19043.4;18901.9;18284.6;19097.6;18276.2;18637.3;18966.4;18237.9;19427.9;18889.8;18860.8;18827.7;18679.2;18576.1;18675.1;18138
12-100;1.72728;1.4569;1.45815;1.35972;1.40723;1.50362;1.5648;1.33848;1.53898;1.46357;1.57226;1.43979;1.61409;1.49573;1.33269;1.52301;1.59849;1.56292;1.36765;1.71451;1.36475;1.33653;1.30162;1.4727;1.46723;1.44576;1.3859;1.56102;1.46243;1.33282
